Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
と1,～と～る,N5,①おじいさんは、天気がいいと裏山に散歩にでかける。,弟は、お腹が空くと、いつも泣く。,弟は、,お腹が,空くと、,いつも,泣,く。,""お腹が"" kết hợp với động từ ""空く"" ở thể điều kiện ""環境・習慣 と"" để chỉ một điều kiện tự nhiên tất yếu dẫn đến hành động lặp lại thường xuyên được bổ nghĩa bởi trạng từ ""いつも""."
と1,時間たたくと、肩がこる。,N5,①彼女は、ストレスがたまるとむやみに食べたくなるのだそうだ。,母は、コーヒーを飲むと、元気になるのです。,母は、,コーヒーを,飲むと、,元気に,なる,のです。,""コーヒーを"" đóng vai trò tân ngữ cho cụm động từ thể điều kiện ""飲むと"" (hễ uống). Vế sau chỉ kết quả tự nhiên tất yếu xảy ra được biểu thị bằng cụm tính từ hóa động từ ""元気になる""."
と1,～と～たくものだ）,N3,①子供のころ、天気がいいと、この辺を祖母とよく散歩をしたものだ。,学生のころ、週末になると、友達とこのカフェでよく話したものだ。,学生のころ、,週末に,なると、,友達とこのカフェで,よく話した,ものだ。,"Cấu trúc ""～となると"" chỉ một điều kiện lặp lại đều đặn trong quá khứ (cứ đến cuối tuần). Đi kèm cụm hành động quá khứ ""友達とこのカフェでよく話した"" và kết thúc bằng ""ものだ"" để diễn tả hồi tưởng về một thói quen."
と1,～と＋未実現のことがら,N5,①ここをまっすぐ行くと、右手に大きな建物が見えます。,この道をまっすぐ行くと、左側にコンビニがあります。,この道を,まっすぐ,行くと、,左側に,コンビニが,あります。,""まっすぐ"" bổ nghĩa cho động từ điều kiện ""行くと"" (nếu đi thẳng). Vế sau chỉ kết quả tất yếu mang tính hướng dẫn đường đi với vị trí ""左側に"" và sự tồn tại ""コンビニがあります""."
と1,～と＋疑問詞～か,N5,①A：お酒を飲むとどうなりますか。B：顔が赤くなります。,新しいパソコンを買うと、いくらぐらいかかりますか。,新しい,パソコンを,買うと、,いくらぐらい,かかり,ますか。,""パソコンを"" làm tân ngữ cho cụm điều kiện ""買うと"". Vế sau đi liền với trạng từ nghi vấn ""いくらぐらい"" bổ nghĩa trực tiếp cho động từ ""かかりますか"" tạo thành câu hỏi về hệ quả chi phí."
と1,～と～た＜契機＞,N4,①教えられたとおりまっすぐ行くと、つきあたりに郵便局があった。,朝起きて窓を開けると、外は雪が降っていた。,朝起きて,窓を,開けると、,外は,雪が降って,いた。,"Hành động ""窓を開けると"" (sau khi mở cửa sổ) đóng vai trò là cơ hội/ngòi nổ dẫn đến việc người nói bất ngờ phát hiện ra một tình trạng đang diễn ra ở vế sau ""外は雪が降っていた""."
と1,～と～た＜連続＞,N3,①男はめざまし時計を止めると、またベッドヘ戻った。,妹はコートを着ると、すぐに部屋を出て行った。,妹は,コートを,着ると、,すぐに,部屋を出て,行った。,"Mẫu câu ""～と"" kết hợp động từ thể quá khứ diễn tả chuỗi hành động xảy ra liên tiếp nhanh chóng trong đời sống. Ngay sau khi ""コートを着ると"" thì thực hiện ngay hành động tiếp theo ""すぐに部屋を出て行った""."
と1,～とすぐ,N4,①彼は、うちへ帰るとすぐテレビのスイッチを入れる。,私は仕事から帰るとすぐ、お風呂に入ります。,私は,仕事から,帰るとすぐ、,お風呂に,入り,ます。,"Trạng từ ""すぐ"" gắn liền sau thể điều kiện ""帰ると"" tạo thành cấu trúc ""～るとすぐ"" nhấn mạnh hành động tiếp theo ở vế sau ""お風呂に入ります"" sẽ được thực hiện ngay lập tức không chậm trễ."
と1,～と＜前置き＞,N3,①正直に言うと、そのことについてはあまりよく分からないのです。,本当のことを言うと、この料理はあまり好きではない。,本当の,ことを,言うと、,この料理は,あまり好きでは,ない。,"Cụm từ ""本当のことを言うと"" (Nói thật lòng thì) đóng vai trò làm trạng ngữ dẫn nhập mở đầu câu, nhằm đưa ra lời giải thích hoặc bày tỏ quan điểm cá nhân thẳng thắn ở vế sau."
と2,数量詞＋と＜繰り返し＞,N3,①人々は一人、また一人とやってきた。,最近、友達が一人、また一人と結婚していく。,最近、,友達が,一人、,また一人と,結婚して,いく。,"Cụm từ ""一人、また一人と"" (hết người này đến người khác) đóng vai trò là trạng từ chỉ sự lặp đi lặp lại của từng đối tượng theo thời gian, bổ nghĩa cho xu hướng hành động liên tiếp ""結婚していく""."
