Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
"いうまでもない","なのはいうまでもない A／V のはいうまでもない1","","①全然学校に来なかった彼が卒業できなかったのは言うまでもない。","毎日遅くまでゲームをしていれば、翌朝寝坊するのは言うまでもない。","毎日遅くまでゲームをしていれば、翌朝寝坊___。","A","のは言うまでもない","Đúng. V-ru kết hợp với のは言うまでもない để chỉ một sự thật hiển nhiên.","のは言うまでもないこと","Sai. Thiếu だ ở cuối câu để hoàn thành câu.","なのは言うまでもない","Sai. なのは đi với danh từ hoặc tính từ đuôi na, không đi trực tiếp với động từ thể từ điển.","というまでもない","Sai. Sai cấu trúc liên kết ngữ pháp (không dùng trợ từ と).","のは言うまでもなく","Sai. Thể なく dùng để nối câu, không dùng để kết thúc câu ở đây.","ことは言うまでもない","Sai. Thể từ điển của động từ thường đi với のは hơn là ことは trong mẫu này khi chỉ hệ quả tự nhiên.","のを言うまでもない","Sai. Trợ từ を sai, phải dùng trợ từ は để chỉ chủ ngữ danh từ hóa.","というのは言うまでもない","Sai. というのは dùng để định nghĩa hoặc giải thích lý do, không phù hợp ở đây."
"いうまでもない","いうまでもないことだが","","①言うまでもないことだが、ツアー旅行で勝手な行動をとって何か問題が起こっても、それはその人自身の責任だ。","言うまでもないことだが、借りたお金は約束の期日までに返すべきだ。","___、借りたお金は約束 của 期日までに返すべきだ。","A","言うまでもないことだが","Đúng. Mào đầu một điều hiển nhiên ai cũng biết (Dù là điều không cần phải nói nhưng...).","言うまでもないことだから","Sai. だから chỉ nguyên nhân kết quả, không mang tính chất mào đầu đưa ra lời khuyên chung.","言うまでもないことだけど","Sai. Thể văn phong quá suồng sã, không phù hợp với cấu trúc nói về quy tắc ứng xử này.","言うまでもないのだが","Sai. Thiếu こと, cấu trúc chuẩn trang trọng là 言うまでもないことだが.","言うまでもないことだし","Sai. だし dùng để liệt kê lý do, không dùng để mào đầu câu.","言うまでもないことながら","Sai. ながら mang nghĩa tương phản nhưng không kết hợp thành cụm cố định này.","言うまでもないもので","Sai. Từ vựng và cấu trúc không đúng ngữ pháp.","言うまでもないことでも","Sai. でも mang nghĩa cho dù, làm thay đổi hoàn toàn ý nghĩa mào đầu khẳng định."
"いうまでもない","いうまでもなく","","①言うまでもなく、私たちをとりまく環境はどんどん汚染されてきている。","言うまでもなく、健康な体を維持するためには毎日の食事が大切だ。","___、健康な体を維持するためには毎日の食事が大切だ。","A","言うまでもなく","Đúng. Thể liên dụng (なく) đứng đầu câu đóng vai trò như một trạng từ (Không cần phải nói...).","言うまでもない","Sai. Nếu đứng đầu câu phải có hình thức nối câu thích hợp, để nguyên thể từ điển sẽ làm câu bị ngắt quãng sai ngữ pháp.","言うまでもないのに","Sai. のに chỉ sự tiếc nuối hoặc tương phản, không phù hợp để mào đầu chân lý.","言うまでもないから","Sai. から chỉ nguyên nhân, không dùng làm trạng từ mào đầu độc lập.","言うまでもないと","Sai. Thiếu vế sau của trợ từ と hoặc sai cấu trúc trạng từ.","言うまでもなくして","Sai. Cách kết hợp なくして mang nghĩa nếu không có, sai ngữ cảnh.","言うまでもないことで","Sai. Với trạng từ đầu câu, dùng 言うまでもなく chứ không dùng で ở đây.","言うまでもないまま","Sai. まま chỉ trạng thái giữ nguyên, hoàn toàn sai nghĩa."
"いか","数量詞＋いか","","①なるべく4人以下でグループを作ってください。","スーパーのタイムセールで、1パック300円以下の卵が飛ぶように売れていた。","スーパーのタイムセールで、1パック300円___の卵が飛ぶように売れていた。","A","以下","Đúng. 数量詞 + 以下 nghĩa là từ mức đó trở xuống (bao gồm cả mốc 300 yên).","未満","Sai. 未満 có nghĩa là nhỏ hơn (không bao gồm mức đó), không dùng trong việc gom nhóm giá tròn trịa này.","以降","Sai. 以降 dùng cho thời gian (từ sau đó).","以内","Sai. 以内 dùng cho phạm vi, khoảng thời gian hoặc khoảng cách (trong vòng).","以前","Sai. 以前 dùng cho thời gian (trước đây).","以外","Sai. 以外 nghĩa là ngoài ra, nếu dùng câu sẽ vô nghĩa.","以下の","Sai. Điền vào chỗ trống trước の thì chỉ cần 以下, điền cả 以下の sẽ bị thừa trợ từ.","補足","Sai. Từ vựng không liên quan."
"いか","Nいか","","①中学生以下は入場無料です。","レストランで小学生以下のお子様には、おもちゃを無料で差し上げております。","レストランで小学生___のお子様には、おもちゃを無料で差し上げております。","A","以下","Đúng. Danh từ chỉ đối tượng/độ tuổi + 以下 nghĩa là từ đối tượng đó trở xuống.","未満","Sai. 未満 thường đi với số từ (ví dụ: 6歳未満), không đi trực tiếp với danh từ như 小学生.","以内","Sai. 以内 dùng cho giới hạn thời gian hoặc khoảng cách, không dùng cho phân loại đối tượng con người.","以外","Sai. 以外 nghĩa là ngoài... ra, nếu dùng sẽ thành trẻ em ngoài tiểu học (sai mục đích khuyến mãi trẻ nhỏ).","以降","Sai. 以降 dùng cho thời gian từ mốc nào đó trở đi.","以前","Sai. 以前 dùng cho thời gian trước mốc nào đó.","以上","Sai. 以上 nghĩa là trở lên, ngược hoàn toàn với đối tượng được tặng đồ chơi trẻ em.","達","Sai. 達 là số nhiều, không tạo ra ý nghĩa giới hạn độ tuổi thích hợp."
"いか","Nいかだ","","①おまえはゴキブリ以下だ。","一生懸命片付けたのに、弟に「泥棒が入った部屋以下だ」と言われてショックだった。","一生懸命片付けたのに、弟に「泥棒が入った部屋___だ」と言われてショックだった。","A","以下","Đúng. N + 以下だ thể hiện sự đánh giá thấp hơn cả mức của N (mang tính chê bai, so sánh tiêu cực).","未満","Sai. 未満 không dùng sau một danh từ cụ thể để so sánh tu từ chê bai như vậy.","以外","Sai. 以外だ nghĩa là ngoài... ra, không hợp nghĩa chê bai căn phòng bừa bộn.","以内","Sai. 以内だ nghĩa là trong phạm vi, không hợp logic câu.","以上","Sai. 以上だ nghĩa là trên mức đó, trái ngược với ý chê bai bừa bộn hơn cả phòng bị trộm.","みたい","Sai. Thầy đi với だ sẽ thành みたいだ (giống như), nhưng cấu trúc yêu cầu mức độ tệ hơn (以下).","どころ","Sai. どころだ không kết hợp trực tiếp tạo nghĩa chê bai mức độ thấp hơn danh từ.","ほど","Sai. ほどだ nghĩa là đến mức, nhưng không mang sắc thái so sánh kém hơn cả rõ rệt bằng 以下."
"いか","Nいか＋数量詞","","①わが社では、社長以下約00人が全員一丸となって働いています。","私の家では、父以下家族4人が全員大のサッカーファンです。","私の家では、父___家族4人が全員大のサッカーファンです。","A","以下","Đúng. N + 以下 + số lượng từ dùng để chỉ toàn bộ nhóm người từ người đứng đầu (N) trở xuống dưới.","未満","Sai. 未満 không đi với danh từ chỉ người để liệt kê nhóm thành viên.","以外","Sai. 以外 nghĩa là ngoài ra, nếu dùng sẽ loại trừ người bố, mâu thuẫn với tổng số 4 người.","以内","Sai. 以内 dùng cho phạm vi không gian/thời gian, không dùng liệt kê người.","以上","Sai. 以上 dùng cho đối tượng từ mốc đó trở lên, không hợp cấu trúc liệt kê từ người đứng đầu gia đình.","を含めて","Sai. Dù hợp nghĩa nhưng không đúng với từ gốc cần kiểm tra và cấu trúc đi liền số từ phía sau trực tiếp.","と共に","Sai. と共に cần trợ từ hoặc chia cách khác, không đi trực tiếp dạng N + と共に + số lượng một cách tự nhiên.","をはじめ","Sai. をはじめ đòi hỏi trợ từ を, ở đây chỗ trống đi liền sau danh từ 父 nên không thể chọn."
"いか","いか","","①以下同文。","友達にパーティーの案内を送る際、「詳細は以下の通りです」と書き添えた。","友達にパーティーの案内を送る際、「詳細は___の通りです」と書き添えた。","A","以下","Đúng. 以下 nghĩa là dưới đây, tạo thành cụm 以下の通り (như dưới đây).","以降","Sai. 以降 là từ nay trở về sau (thời gian), không dùng chỉ nội dung văn bản bên dưới.","以前","Sai. 以前 là trước đây, không hợp nghĩa.","以上","Sai. 以上 là trên đây, ở đây nội dung chi tiết nằm ở phía sau câu này nên phải dùng 以下.","未満","Sai. 未満 là ít hơn, không có nghĩa là dưới đây.","以外","Sai. 以外 là ngoài ra, không đi với の通り.","以内","Sai. 以内 là trong vòng, không hợp nghĩa.","下記","Sai. 下記 thường dùng trong văn bản trang trọng hoặc email công việc, không dùng kèm の通り tự nhiên như 以下."
"いがい","～いがい Nいがい V－る／V－た いがい","","①来週のパーティーには、山田さん以外みんな行くそうです。","今日は冷蔵庫の中に鶏肉以外何も残っていないから、買い物に行かないと。","今日は冷蔵庫の中に鶏肉___何も残っていないから、買い物に行かないと。","A","以外","Đúng. N + 以外 nghĩa là ngoài N ra.","以外に","Sai. Thừa trợ từ に vì phía sau là 何も残っていない, cấu trúc loại trừ trực tiếp danh từ là N以外.","以上","Sai. 以上 nghĩa là trên/hơn, không hợp ngữ cảnh loại trừ thực phẩm trong tủ lạnh.","以下","Sai. 以下 nghĩa là dưới, không dùng để loại trừ danh từ cụ thể.","未満","Sai. 未満 dùng cho số lượng, không đi với danh từ chỉ vật như 鶏肉.","以外は","Sai. Ở đây đã có 何も (phủ định hoàn toàn), việc dùng 以外は sẽ làm câu trở nên gượng gạo.","どころ","Sai. どころ không mang nghĩa loại trừ vật.","のみ","Sai. のみ nghĩa là chỉ, nếu dùng phải đi với cấu trúc khẳng định (鶏肉のみある)."
"いがい","～いがいに～ない Nいがいに～ない V－る／V－た いがいに～ない","","①彼女以外にこの仕事を任せられる人はいない。","スマホの画面が割れてしまい、新しく買い替える以外に方法がない。","スマホの画面が割れてしまい、新しく買い替える___方法がない。","A","以外に","Đúng. V-ru + 以外に + 方法がない nghĩa là không còn cách nào khác ngoài việc...","以外は","Sai. 以外は thường đi với danh từ chủ ngữ, còn đi với 方法がない thì cụm cố định chuẩn là 以外に方法がない.","ほかに","Sai. Mặc dù nghĩa tương đương nhưng ほかに đòi hỏi cấu trúc liên kết khác (買い替えるほかに), không khớp mẫu 以外に đang xét.","以上に","Sai. 以上に nghĩa là hơn thế nữa, không tạo nghĩa phủ định phương pháp.","以下に","Sai. Không có cấu trúc V-ru + 以下に.","だけに","Sai. だけに chỉ nguyên nhân mang tính tỉ lệ thuận hoặc chính vì, không hợp nghĩa.","ばかりに","Sai. ばかりに chỉ nguyên nhân dẫn đến kết quả xấu, không đi với 方法がない.","からに","Sai. Cấu trúc từ vựng không phù hợp ở đây."
