Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
だといい,,①A：みんな今頃安全な場所に避難していますよ。B：だといいが。心配だ。,明日の夕方、スーパーのタイムセールが始まったら混雑するだろうから、早めに行こう。,明日の夕方、スーパーのタイムセールが,始まったら,混雑する,だろう,から、,早めに行こう。,"Vế giả định điều kiện chưa xảy ra ""始まったら"" (nếu bắt đầu) bổ nghĩa cho kết quả dự đoán ""混雑するだろう"" (chắc sẽ đông đúc). Tiếp theo ""から"" chỉ nguyên nhân dẫn đến hành động đề xuất ở đuôi câu ""早めに行こう""."
だといって,,①A：これは全面的にあいつが悪い。B：だといって、困っているのを見捨てるわけにもいかないだろう。,晩ご飯の準備ができたらみんなを呼んでくれる？,晩ご飯の,準備が,できたら,みんなを,呼んで,くれる？,"Danh từ kết hợp trợ từ ""準備が"" đi với động từ điều kiện ""できたら"" tạo thành vế điều kiện hoàn thành hành động. Tiếp theo là tân ngữ ""みんなを"" và động từ thể Te ""呼んで"" đi liền với đuôi cầu khiến ""くれる""."
たとえ,,①たとえその事実を知っていたところで、私の気持ちは変わらなかっただろう。,来週の週末、都合が悪かったら日程を変更できますか。,来週の週末、,都合が,悪かったら,日程を,変更できます,か。,"Chủ ngữ hành động ""都合が"" đi với tính từ đuôi i thể điều kiện ""悪かったら"" (nếu không thuận tiện). Tiếp theo là tân ngữ ""日程を"" bổ nghĩa cho động từ khả năng ""変更できます"" và kết thúc bằng trợ từ nghi vấn ""か""."
たとえば,,①飲物でしたら、たとえばコーヒー、紅茶、ジュースなどを用意してあります。,同じ部屋の片付けを一体何回言ったらやるの？,同じ部屋の片付けを,一体,何回,言ったら,やる,の？,"Phó từ nhấn mạnh ""一体"" đi kèm từ để hỏi ""何回"" (mấy lần). Động từ điều kiện ""言ったら"" (nếu nói) kết hợp với động từ chính ""やる"" và trợ từ hỏi kết thúc mang sắc thái suồng sã ""の""."
だとすると,,①A：近くに大きなホテルができるのは確実です。B：だとすると、この町の雇用率が上がるかもしれませんね。,,,,,,,,
だとすれば,,①A：近くに大きなホテルができるのは確実です。B：だとすれば、この町の雇用率が上がるかもしれませんね。,出かける前に天気予報を確認していたら濡れずに済んだはずだ。,出かける前に,天気予報を,確認して,いたら,濡れずに済んだ,はずだ。,"Tân ngữ ""天気予報を"" đi với động từ thể Te ""確認して"" kết hợp trợ từ điều kiện quá khứ ""いたら"" (nếu đã kiểm tra). Vế kết quả trái quá khứ ""濡れずに済んだ"" đi với cấu trúc khẳng định chắc chắn ""はずだ""."
だなんて,,①今頃になって気が変わっただなんてよく言えますね。,,,,,,,,
だにしない,Nだにしない,①このような事故が起きるとは想像だにしなかった。,デパートに行ってみたらお気に入りの店が閉店していた。,デパートに,行って,みたら,お気に入りの店が,閉店して,いた。,"Hành động thử nghiệm quá khứ ""行ってみたら"" (khi thử đi đến) dẫn đến việc phát hiện ra một tình trạng khách quan ở vế sau với chủ ngữ ""お気に入りの店が"" và động từ trạng thái quá khứ ""閉店していた""."
だの,だの　A／V　だの　A／V　だの,①彼女は市場に出かけると、肉だの野菜だの持ちきれないほど買ってきた。,うちの弟はスマホを触ったら最後夜中まで離さない。,,,,,,,"Tân ngữ ""スマホを"" đi với động từ chia thể liên kết ""触っ"" tạo thành cấu trúc ""触ったらさいご"" (một khi đã chạm vào). Tiếp theo là trạng từ chỉ thời gian ""夜中まで"" bổ nghĩa cho động từ phủ định ""離さない""."
たびに,Nのたびに　V－るたびに,①健康診断のたびに、太りすぎだと言われる。,毎日の料理は作ったら作ったで後片付けが結構大変だ。,毎日の料理は,作ったら,作ったで,後片付けが,結構,大変だ。,"Cấu trúc lặp lại động từ ""作ったら作ったで"" (có nấu thì nấu thế chứ...) làm thành phần trạng ngữ cho vế sau, nơi chủ ngữ ""後片付けが"" đi với phó từ ""結構"" bổ nghĩa cho tính từ kết đuôi ""大変だ""."
たぶん,,①たぶん田中さんも来るでしょう。,今日、もし時間が空いたら手伝ってもらえますか。,今日、もし,時間が,空い,たら,手伝って,もらえますか。,"Phó từ giả định ""もし"" đi liền với cấu trúc chủ-vị ""時間が空い"" kết hợp trợ từ điều kiện ""たら"" (nếu rảnh). Hành động nhờ vả được chia ở thể Te ""手伝って"" kết hợp cấu trúc hỏi khả năng ""もらえますか""."
たまらない,たまらない,①A：毎日、車の音がうるさくて眠れないんです。B：それはたまりませんね。,①私から見たら、こんなことはたいした問題ではない。,①,私から見たら、,こんなことは,たいした,問題で,はない。,"大問題だ。 Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
たまらない,～てたまらない,①和子はあしたから夏休みだと思うとうれしくてたまらなかった。,①立って見てないで、ちょっと手伝ってあげたら。,①,立って見てないで、,ちょっと,手伝って,あげたら。,,"？ Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
ため,Nのため＜利益＞,①こんなにきついことをいうのも君のためだ。,①あなたったら、何考えてるの？,①,あなたったら、,何,考えて,る,の？,"するのよ。 Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
ため,～ために　Nのために　V－るために,①世界平和のために国際会議が開かれる。,,,,,,,,
ため,V－んがため,①生きんがための仕事。,①生まれてくる子が男の子だったらいいのだが。,①,生まれてくる子が,男の子,だったら,いいの,だが。,"のになあ。 Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
ため,～ため　Nのため　Naなため　A／V　ため,①過労のため3日間の休養が必要だ。,①A：このあいだのパーティーおもしろかったわよ。B：僕も行ったらよかった。A：そうよ。来たらよかったのに。どうして来なかったの。B：アルバイトがあったんだよ。でもあの日はバイト、ひまでね。休んでもよかったんだ。,①A：このあいだのパーティーおもしろかったわよ。B：僕も行ったらよかった。A：そうよ。,来たらよかったのに。,どうして,来なかったの。B：アルバイトがあったんだよ。でも,あの日はバイト、ひまでね。,休んでもよかったんだ。,"と後悔している。 Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
ため,ひとつには～ためである,①彼の性格が暗いのは、ひとつにはさびしい少年時代を送ったためである。,không mong muốn.,,không,mong,muố,n,.,"帰って Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
ためし,ためしに～てみる,①先月できたレストランはおいしいという評判だ。ためしに一度行ってみよう。,①別の方法で実験してみたらどうでしょうか。,①,別の方法で,実験して,みたら,どう,でしょうか。,"と思います。 Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
ためし,V－たためしがない,①彼女は約束の時間を守ったためしがない。,①休みの日には、ビデオを見たり音楽を聞いたりしてのんびり過ごすのが好きです。,①,休みの日には、,ビデオを見たり,音楽を聞いたり,してのんびり,過ごすのが好きです。,"たりして過ごします。 Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
