Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
それでは,それでは＜転換＞,N4,①それでは、次は天気予報です。,それでは、次は新規プロジェクトのスケジュールについて話し合いましょう。,それでは、,次は,新規プロジェクトの,スケジュールについて,話し合い,ましょう。,"""それでは"" dùng để chuyển đổi chủ đề sang một nội dung mới trong cuộc họp. Tiếp theo là danh từ chỉ thời gian ""次は"" làm chủ ngữ, kết hợp với cụm danh từ bổ nghĩa ""新規プロジェクトの"" (của dự án mới). Cấu trúc ""スケジュールについて"" (về lịch trình) chỉ đối tượng của hành động. Cuối cùng là động từ nhóm 1 chia thể kêu gọi ""話し合いましょう"" (hãy cùng thảo luận) đặt ở cuối câu."
それでは,それでは＜否定的結果＞,N4,①A：入学試験、多分60パーセントもとれなかったと思います。B：それでは合格は無理だろう。,予算が足りないなら、それでは今期の開発計画を予定通りに進めるのは難しいでしょう。,予算が足りないなら、それでは,今期の開発計画を,予定通りに,進めるのは,難しい,でしょう。,"""それでは"" đứng đầu câu phản hồi để đưa ra kết luận dựa trên tình huống tiêu cực vừa được nhắc tới (thiếu ngân sách). Tiếp theo là đối tượng hành động ""今期の開発計画を"" (kế hoạch phát triển kỳ này), đi kèm trạng từ ""予定通りに"" (theo đúng kế hoạch). Cụm danh từ hóa ""進めるのは"" (việc tiến hành) làm chủ ngữ cho tính từ ""難しい"" (khó khăn), và kết thúc bằng phỏng đoán ""でしょう"" (có lẽ/chắc là)."
それでも,,N3,①いろいろ説明してもらったが、それでもまだ納得できない。,何度も謝罪して不具合を修正しましたが、それでもお客様の怒りはまだ収まっていないようです。,何度も謝罪して不具合を修正しましたが、それでも,お客様の,怒りは,まだ収まって,いない,ようです。,"""それでも"" (dẫu vậy/cho dù như thế) đóng vai trò liên từ nối hai vế tương phản, thể hiện dù đã xin lỗi và sửa lỗi nhưng kết quả không đổi. Vế sau bắt đầu bằng chủ ngữ ""お客様の怒りは"" (sự tức giận của khách hàng), đi kèm trạng từ ""まだ"" (vẫn chưa) bổ nghĩa cho trạng thái tiếp diễn phủ định ""収まっていない"" (chưa nguôi ngoai). ""ようです"" đặt ở cuối câu để đưa ra nhận định, đánh giá khách quan của người nói."
それところか,,N3,①A：山の家はすずしくていいでしょうね。B：それどころか、寒くてすっかりかぜをひいてしまいました。,新システムで業務が楽になると思いましたが、それどころか、操作が非常に複雑でメンバーの残業が増えてしまいました。,新システムで業務が楽になると思いましたが、それどころか、,操作が,非常に複雑で,メンバーの残業が,増えてしまい,ました。,"""それどころか"" (trái lại/thậm chí ngược lại) dùng để phủ định hoàn toàn kỳ vọng ở vế trước (hệ thống mới giúp công việc nhàn hơn) và nhấn mạnh một thực tế tệ hơn ở vế sau. Cấu trúc tiếp theo gồm chủ ngữ ""操作が"" kết hợp với tính từ chỉ nguyên nhân ""非常に複雑で"" (rất phức tạp), dẫn đến hệ quả là chủ ngữ thứ hai ""メンバーの残業が"" (việc làm thêm giờ của các thành viên) đi với động từ thể hiện kết quả đáng tiếc ""増えてしまいました""."
それとも,NそれともN,N4,①A：コーヒー？それとも紅茶？B：どちらでもけっこうです。,次回の打ち合わせは火曜日にしますか、それとも水曜日にしますか。,次回の打ち合わせは,火曜日に,しますか、,それとも,水曜日に,しますか。,"Cấu trúc lựa chọn giữa hai danh từ trong bối cảnh lên lịch hẹn. Đầu câu là chủ đề ""次回の打ち合わせは"" (cuộc họp tiếp theo). Chunk 1 và 2 đưa ra lựa chọn đầu tiên ""火曜日にしますか"" (chọn thứ Ba phải không). Liên từ ""それとも"" (hay là) đặt giữa hai vế để liên kết lựa chọn thứ hai ""水曜日にしますか"" (chọn thứ Tư phải không), kết thúc câu bằng trợ từ nghi vấn ""か""."
それとも,～それとも,N4,①雨が降ってきましたが、どうしますか。行きますか。それとも延期しますか。,契約書は郵送にしますか、それとも私が持参いたしましょうか。,契約書は,郵送に,しますか、,それとも私が,持参いたし,ましょうか。,"Sử dụng ""それとも"" để nối hai mệnh đề hành động mang tính lựa chọn trong bối cảnh lịch sự với khách hàng. Vế đầu ""郵送にしますか"" hỏi về phương án gửi bưu điện. ""それとも私が"" giới thiệu lựa chọn thứ hai với chủ ngữ là người nói, đi liền với động từ khiêm nhường ngữ ""持参いたしましょうか"" (tôi xin phép mang đến nhé) để thể hiện sự trang trọng, lịch sự tối đa."
それなら,,N4,①A：どこか山登りに行こうと思うんだけど。B：それなら、日本アルプスがいいよ。,先方が明日の午後なら空いているとのことですので、それなら午後の二時くらいにこちらからお伺いすることにしましょう。,先方が明日の午後なら空いているとのことですので、それなら,午後の,二時くらいに,こちらからお伺い,することに,しましょう。,"""それなら"" (nếu thế thì) là liên từ đưa ra giải pháp dựa trên thông tin đối phương vừa cung cấp ở vế trước. Tiếp theo là trạng từ chỉ thời gian ""午後の二時くらいに"" (khoảng 2 giờ chiều). Người nói dùng khiêm nhường ngữ ""こちらからお伺い"" (phía chúng tôi xin phép đến thăm) để thể hiện sự tôn trọng với đối tác, kết hợp với mẫu câu quyết định ""することにしましょう"" (hãy quyết định làm như vậy)."
それに,～それにN,N4,①部屋にはさいふとかぎ、それに手帳が残されていた。,今回の契約手続きには、身分証明書と実印、それに会社概要の書類が必要です。,今回の契約手続きには、身分証明書と,実印、,それに,会社概要の,書類が,必要です。,"""それに"" được dùng để bổ sung, liệt kê một danh từ quan trọng cuối cùng vào danh sách đã có sẵn. Trong ngữ cảnh ký kết hợp đồng, sau khi liệt kê ""身分証明書"" (giấy tờ tùy thân) và ""実印"" (con dấu đăng ký pháp nhân), ""それに"" đóng vai trò liên kết danh từ tiếp theo là ""会社概要の書類"" (hồ sơ giới thiệu công ty) làm chủ ngữ đi kèm trợ từ ""が"", kết thúc bằng tính từ ""必要です"" (cần thiết)."
それに,～それに,N4,①このごろよく眠れない。それに時々めまいもする。,この取引先は提示された価格が安いですし、それに技術力や開発のスピードも非常に高いです。,この取引先は提示された価格が安いですし、それに,技術力や,開発の,スピードも,非常に,高いです。,"""それに"" (hơn nữa/thêm vào đó) dùng để thêm một lý do hoặc tính chất tích cực đồng hướng với vế trước nhằm thuyết phục chọn đối tác. Sau liên từ này, các danh từ chỉ ưu điểm được liệt kê qua ""技術力や"" (lực lượng công nghệ) và ""開発のスピードも"" (cả tốc độ phát triển), bổ nghĩa bởi trạng từ mức độ ""非常に"" (rất) và tính từ kết thúc câu ""高いです"" (cao)."
それにしては,,N3,①A：きのうほとんど寝てないんです。B：それにしては元気がいいね。,彼は先月入社したばかりですが、それにしては業務の進め方が非常に手慣れていますね。,彼は先月入社したばかりですが、それにしては,業務の,進め方が,非常に,手慣れて,いますね。,"""それにしては"" (vậy mà/đối với việc... thì...) biểu thị sự ngạc nhiên vì thực tế trái với dự đoán thông thường (mới vào công ty tháng trước đáng lẽ phải bỡ ngỡ). Vế sau đi kèm cụm chủ ngữ ""業務の進め方が"" (cách tiến hành công việc), bổ nghĩa bởi trạng từ ""非常に"" (rất) và động từ thể hiện trạng thái thành thục ""手慣れています"" (thành thạo/quen tay), kết thúc bằng trợ từ tình thái ""ね"" để tìm sự đồng tình."
