Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
つまり,つまり＜言いかえ＞,①彼は、母の弟、つまり私の叔父である。,あそこの角にある店は、私の実家、つまり両親の家なんです。,あそこの角にある店は、,私の実家、,つまり,両親の,家なん,です。,"Sau danh từ 「私の実家」, sử dụng 「つまり」 (tóm lại/có nghĩa là) để giải thích lại một cách rõ ràng."
つまり,つまり（は）＜結論＞,①つまり、責任は自分にはないとおっしゃりたいのですね。,遅刻した上に財布も忘れたの？つまり、今日は一歩も動けないってことね。,遅刻した上に財布も忘れたの？,つまり、,今日は,一歩も動けない,ってこと,ね。,"Dùng 「つまり」 để tóm tắt lại tình huống phía trước, dẫn đến kết luận ở cuối câu."
つもり,V－る／V－ないつもりだ,①来年はヨーロッパヘ旅行するつもりだ。,,,,,,,,Động từ thể từ điển 「行く」 kết hợp với danh từ 「つもり」 chỉ dự định và 「です」 tạo thành mẫu câu cơ bản.
つもり,V－るつもりはない,①この授業を聴講してみたい。続けて出るつもりはないけれど。,こんなに高い服、いくら勧められても買うつもりはないよ。,こんなに高い服、,いくら勧められても,買う,つもりは,ない,よ。,Động từ thể từ điển 「買う」 đi với 「つもりはない」 thể hiện ý chí phủ định mạnh mẽ (hoàn toàn không có ý định mua).
つもり,V－るつもりではない,①すみません、あなたの邪魔をするつもりではなかったんです。,意地悪を言うつもりではなかったから、怒らないで。,意地悪を,言う,つもりでは,なかった,から、,怒らないで。,Động từ thể từ điển 「言う」 đi với 「つもりではなかった」 phủ định ý định trong quá khứ.
つもり,V－るつもりで,①今日限りでやめるつもりで、上司に話しに行った。,今日は服を一着だけ買うつもりで、デパートに来ました。,今日は,服を一着だけ,買う,つもり,で、,デパートに来ました。,Động từ thể từ điển 「買う」 đi với 「つもりで」 thể hiện hành động tiếp theo được thực hiện với mục đích nhất định.
つもり,～つもりだ＜信念＞,①ミスが多かったが、今日の試合は練習のつもりだったからそれほど気にしていない。,塩加減はちょうどいいつもりだけど、ちょっと薄いかな？,塩加減は,ちょうど,いい,つもりだ,けど、,ちょっと薄いかな？,Tính từ 「いい」 kết hợp trực tiếp với 「つもりだ」 thể hiện niềm tin chủ quan của bản thân.
つもり,～つもりだ＜反事実＞,①なによ、あの人、女王のつもりかしら。,あの人、まだ二十代のつもりで若い格好をしているね。,あの人、,まだ,二十代の,つもり,で,若い格好をしているね。,Danh từ đi kèm trợ từ の 「二十代の」 kết nối với 「つもりで」 thể hiện việc bản thân cứ ngỡ như là thực tế.
つもり,V－たつもりはない,①私はそんなことを言ったつもりはない。,,,,,,,,Động từ thể Ta 「言った」 đi với 「つもりはない」 khẳng định bản thân không hề có ác ý hay ý định đó trong quá khứ.
つもり,V－たつもりで,①旅行したつもりで、お金は貯金することにした。,外食したつもりで、今日はお家で自炊して貯金箱にお金を入れた。,外食,した,つもり,で、,今日はお家で,自炊して貯金箱にお金を入れた。,Động từ thể Ta 「した」 đi với 「つもりで」 giả định như thể đã thực hiện hành động đó.
