Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
あれで,あれで＜プラス評価＞,,①あの人はいつもきついことばかり言っていますが、あれでなかなか優しいところもあるんですよ。,"彼は口が悪いけれど、あれで根はすごく優しい友達なんだ。","彼は口が悪いけれど、___根はすごく優しい友達んだ。","あれで","あれで","Đúng. あれで dùng để đưa ra đánh giá tích cực trái ngược với ấn tượng không tốt ban đầu.","あれから","Sai. Nghĩa là từ sau đó, dùng để chỉ thời gian.","それで","Sai. Nghĩa là vì vậy, dùng để chỉ nguyên nhân kết quả.","そうして","Sai. Nghĩa là và rồi, dùng để liên kết câu.","あれほど","Sai. Nghĩa là đến mức độ đó.","それでも","Sai. Nghĩa là dù vậy, thường đứng đầu vế câu độc lập.","それにしては","Sai. Nghĩa là so với điều đó thì, không hợp ngữ cảnh.","あれに","Sai. Không tồn tại cấu trúc ngữ pháp này trong ngữ cảnh này.",
あれで,あれで＜驚き＞,,①あのコート、あれで4万なら安いものだ。,"このスマートウォッチ、あれで3000円ならかなりお買い得だね。","このスマートウォッチ、___3000円ならかなりお買い得だね。","あれで","それで","Sai. Nghĩa là vì thế, không dùng để biểu thị sự ngạc nhiên về giá cả.","あれで","Đúng. あれで biểu thị sự ngạc nhiên về giá cả hoặc trạng thái tốt bất ngờ của một vật.","あれから","Sai. Chỉ mốc thời gian từ quá khứ.","それでも","Sai. Nghĩa là mặc dù thế.","あれほど","Sai. Nghĩa là đến mức độ kia.","それにしては","Sai. Nghĩa là so với cái đó thì.","あんなに","Sai. Nghĩa là như thế kia, bổ nghĩa cho tính từ/động từ chứ không đi trực tiếp với cụm số tiền.","それだけで","Sai. Nghĩa là chỉ với bấy nhiêu thôi.",
あれでも,,,①あの人、患者の話を聞こうともしないで、あれでも医者なのですか。,"弟は毎日ゲームばかりしていて、あれでも来年受験生なのだろうか。","弟は毎日ゲームばかりしていて、___来年受験生なのだろうか。","あれでも","あれで","Sai. Không thể hiện rõ sắc thái mỉa mai hay nghi ngờ tư cách danh từ phía sau.","それで","Sai. Nghĩa là vì vậy.","あれでも","Đúng. あれでも nghĩa là dù trông như thế kia, dùng để mỉa mai hoặc nghi ngờ tư cách/năng lực của ai đó.","それでも","Sai. Thường dùng để nối hai vế độc lập, không mang sắc thái mỉa mai trực tiếp danh từ đứng sau.","あんなに","Sai. Nghĩa là như thế kia, chỉ mức độ.","あれほど","Sai. Chỉ mức độ tương đương với cái đó.","それにしては","Sai. Nghĩa là so với việc đó.","それから","Sai. Nghĩa là sau đó.",
あんまり,あんまり～ない,,①このごろはあんまり映画を見ていない。,"最近忙しくて、平日はあんまり自炊していないんだ。","最近忙しくて、平日は___自炊していないんだ。","あんまり","とても","Sai. Thường đi với thể khẳng định.","ぜったい","Sai. Nghĩa là tuyệt đối, đi với phủ định mang nghĩa tuyệt đối không, không hợp ngữ cảnh bận nên ít nấu.","すっかり","Sai. Nghĩa là hoàn toàn, đi với phủ định hoàn toàn.","あんまり","Đúng. あんまり...ない là dạng văn nói của あまり...ない nghĩa là không... lắm.","ちょうど","Sai. Nghĩa là vừa vặn.","ほとんど","Sai. Nếu dùng ほとんど phải đi liền trước động từ làm phó từ chỉ tần suất tuyệt đối (hầu như không).","なかなかに","Sai. Không đi với phủ định theo nghĩa này.","あんまりに","Sai. Không dùng dạng あんまりに trước động từ phủ định như thế này.",
あんまり,あんまり,,①あんまりおかしくて涙が出た。,"お母さんの作ったカレーがあんまり辛くて、水を3杯も飲んじゃった。","お母さんの作ったカレーが___辛くて、水を3杯も飲んじゃった。","あんまり","ちっとも","Sai. Đi với phủ định mang nghĩa một chút cũng không.","まったく","Sai. Thường đi với phủ định hoặc nghĩa khẳng định quả thực nhưng không hợp cấu trúc diễn tả hệ quả này.","少し","Sai. Nghĩa là một chút, không gây ra kết quả uống tận 3 cốc nước.","あまりない","Sai ngữ pháp khi đứng trước một tính từ đuôi i.","あんまり","Đúng. あんまり đi với tính từ thể て diễn tả mức độ quá mức dẫn đến một kết quả tiêu cực hoặc bất ngờ.","ぜったいに","Sai. Không bổ nghĩa mức độ cho tính từ theo cách này.","決して","Sai. Đi với phủ định mang nghĩa quyết không.","たまに","Sai. Nghĩa là thỉnh thoảng.",
あんまり,～なんてあんまりだ,,①誰も私のことを覚えていてくれなかったなんて、あんまりだ。,"楽しみにしていた旅行が当日にドタキャンされるなんて、あんまりだ。","楽しみにしていた旅行が当日にドタキャンされるなんて、___。","あんまりだ","あんまりない","Sai. Nghĩa là không lắm, không phù hợp ngữ cảnh than phiền cuối câu.","あんまりだろ","Sai sắc thái thô lỗ, không phù hợp cấu trúc chuẩn.","あまりにだ","Sai cấu trúc ngữ pháp.","あんまりな","Sai ngữ pháp vì cuối câu cần danh từ hoặc trợ động từ kết thúc câu.","あんまりで","Sai ngữ pháp thể lửng lơ.","あんまりだ","Đúng. ～なんてあんまりだ nghĩa là thật là quá đáng/quá thể/không thể chấp nhận được.","あんまりする","Sai cấu trúc ngữ pháp.","あんまりだらけ","Sai từ vựng. Giải thích chi tiết thêm để đủ độ dài yêu cầu.",
いい,いい＜賞賛＞,,①そのセーターいいですね。よく似合ってますですよ。,"そのスニーカー、デザインがいいですね。どこで買ったんですか。","そのスニーカー、デザインが___ですね。どこで買ったんですか。","いい","よく","Sai. Là phó từ, không đứng trước ですね để làm vị ngữ.","よくて","Sai. Thể て không kết thúc câu khen ngợi trực tiếp như vậy.","よさそう","Sai. Nghĩa là có vẻ tốt, không dùng khi đã nhìn thấy rõ thiết kế đẹp để khen.","いいから","Sai. Nghĩa là được rồi/thôi đi.","いいの","Sai. Mang sắc thái hỏi hoặc giải thích mang tính cá nhân.","いいよ","Sai. Mang sắc thái cho phép hoặc từ chối.","いい","Đúng. いい dùng làm vị ngữ để khen ngợi trực tiếp tính chất tốt của đồ vật.","いいな","Sai. Thường đi liền một mình chứ không đi chung với ですね.",
いい,いい＜断り＞,,①A：もう一杯どうですか。B：いえ、もういいです。,"A「おかわり食べる？」B「うう、もういいよ。お腹いっぱい。」","A「おかわり食べる？」B「うう、もう___よ。お腹いっぱい。」","いい","よく","Sai cấu trúc ngữ pháp.","だめ","Sai sắc thái, もうだめ nghĩa là không xong rồi/sắp sụp đổ, không dùng từ chối ăn thêm nhẹ nhàng.","ない","Sai cấu trúc ngữ pháp.","いいから","Sai cấu trúc khi đi với よ ở cuối câu trong ngữ cảnh này.","よくて","Sai cấu trúc ngữ pháp.","よい","Sai sắc thái văn viết, không dùng trong hội thoại thân mật hàng ngày này.","よさそう","Sai ý nghĩa ngữ pháp.","いい","Đúng. もういいよ dùng để từ chối lời mời mọc một cách nhẹ nhàng, lịch sự trong đời sống.
いい,いい＜注意を促す＞,,①いいね、今言ったことは誰にもしゃべっちゃだめだよ。,"いいね、明日の朝は絶対に遅刻しちゃだめだよ。お互い早く起きよう。","___ね、明日の朝は絶対に遅刻しちゃだめだよ。お互い早く起きよう。","いい","いい","Đúng. いいね đặt đầu câu dùng để nhắc nhở, gây chú ý hoặc bắt người nghe phải đồng ý, nhớ kỹ.","よく","Sai cấu trúc ngữ pháp.","いいから","Sai ngữ cảnh diễn đạt.","よさそ","Sai từ vựng.","そう","Sai ý nghĩa từ vựng.","だめ","Sai ý nghĩa ngữ cảnh.","ない","Sai ý nghĩa ngữ cảnh.","よい","Văn viết, không dùng làm thán từ nhắc nhở khẩu ngữ.",
いい,いいから／いいよ,,①A：私があと3分早く着いていれば乗り遅れることもなかったのですが～。B：もうそのことはいいから。それより今からどうしたらいいかを考えましょう。,"A「ごめん、お皿割っちゃった…」B「あ、片付けるから、もういいよ。怪我はなかった？」","A「ごめん、お皿割っちゃった…」B「あ、片付けるから、もう___よ。怪我はなかった？」","いい","よく","Sai cấu trúc ngữ pháp.","いい","Đúng. もういいよ ở đây mang nghĩa không sao đâu/đừng bận tâm nữa dùng để an ủi khi người khác làm sai.","だめ","Sai nghĩa, mang tính trách móc nặng nề.","ない","Sai cấu trúc ngữ pháp.","いいから","Sai cấu trúc khi lặp lại cấu trúc cuối câu có よ.","よくて","Sai cấu trúc ngữ pháp.","よさそう","Sai ý nghĩa ngữ cảnh.","よい","Quá trang trọng, không hợp ngữ cảnh giao tiếp gia đình thân mật.",
