Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
らしい,～らしい　N／Na／A／V　らしい,N3,①天気予報によると明日は雨らしい。,プロジェクトマネージャーによると、新しいシステムのリリーススケジュールは来月に延期されるらしいです。,プロジェクトマネージャーによると、新しいシステムの,リリーススケジュールは,来月に,延期される,らしい,です。,「リリーススケジュールは」 là chủ ngữ của mệnh đề phụ. 「来月に」 chỉ thời gian hoãn. 「延期される」 là động từ thể bị động bổ nghĩa cho cấu trúc phỏng đoán. 「らしい」 đi sau thể thông thường (延期される) để thể hiện sự phỏng đoán dựa trên thông tin đáng tin cậy nghe được từ người quản lý dự án.
られる1,受身を表す。「V－られる」のVが五段活用の動詞の場合は「行く→行かれる」「飲む一飲まれる」のように、辞書形の末尾をア段の音に変えて「れる」をつける。一段活用の場合は、「食べる一食べられる」のように、語幹「食べ」に「られる」をつける。「来る」は「こられる」、「する」は「される」となる。「V－られる」は一段動詞の活用をする。NがV－られる＜直接受身＞,N4,①この地方ではおもに赤ワインが作られている。,このオフィスでは、最新のセキュリティシステムが今月から導入されています。,このオフィスでは、最新の,セキュリティシステムが,今月から,導入されて,います,。,"「セキュリティシステムが」 đóng vai trò làm chủ ngữ nhận tác động của hành động. 「今月から」 chỉ thời gian bắt đầu trạng thái. 「導入されて」 là thể bị động của động từ nhóm 3 (導入する) kết hợp với 「います」 ở dạng V-te iru để chỉ một trạng thái hiện hữu, hiện đang được áp dụng tại văn phòng."
られる1,NがNに（よって）V－られる＜直接受身＞,N4,①漫画週刊誌は若いサラリーマンによく読まれている。,この新しいアプリは、当社の開発チームによって開発されました。,この新しいアプリは、,当社の,開発チームに,よって開発,されました,。,"「当社の」 bổ nghĩa cho danh từ 「開発チーム」. Cụm 「によって」 đứng sau tác nhân thực hiện hành động nhằm nhấn mạnh chủ thể phát minh, sáng chế hoặc phát triển. 「開発されました」 là thể bị động quá khứ trang trọng của động từ nhóm 3 (開発する) nhằm tường thuật lại sự việc khách quan trong bối cảnh công sở."
られる1,NがN　に／から　V－られる＜直接受身＞,N4,①おばあさんが犬にかまれた。,私は部長から報告書のミスについて厳しく注意されました。,私は部長から,報告書の,ミスについて,厳しく注意,されました,。,"「部長から」 chỉ nguồn tiếp nhận hành động (từ sếp). 「報告書の」 bổ nghĩa cho 「ミス」. 「ミスについて」 bổ nghĩa cho hành động nhắc nhở, nghĩa là về lỗi sai. 「厳しく注意されました」 sử dụng dạng bị động quá khứ kính trọng của động từ nhóm 3 (注意する) kèm phó từ 「厳しく」 để thể hiện việc bản thân bị cấp trên khiển trách."
られる1,NがNにV－られる＜間接受身＞,N3,①忙しいときに客に来られて、仕事ができなかった。,忙しい時期に部下に急に辞められてプロジェクトが遅れてしまった。,忙しい時期に,部下に,急に,辞められて,プロジェクトが,遅れてしまった。,"Đây là cấu trúc bị động gián tiếp thể hiện sự phiền toái (間接受身). 「部下に」 chỉ tác nhân gây ra hành động bất lợi cho chủ ngữ. 「急に辞められて」 chia ở thể bị động từ tự động từ 「辞める」, diễn tả việc nhân viên cấp dưới đột ngột xin nghỉ việc gây ảnh hưởng, thiệt hại trực tiếp khiến cho 「プロジェクトが遅れてしまった」 (dự án bị chậm trễ ngoài ý muốn)."
られる1,NがNにNをV－られる＜所有者受身＞,N3,①森さんは知らない人に名前をよばれた。,私は出張中に後輩に社外秘の書類を紛失されました。,私は出張中に,後輩に,社外秘の,書類を紛失,されました,。,"Đây là dạng bị động sở hữu (所有者受身). 「後輩に」 là tác nhân thực hiện hành động phá hoại/gây lỗi. 「社外秘の」 bổ nghĩa cho tân ngữ 「書類」. 「紛失されました」 là dạng bị động của động từ 紛失する, diễn tả việc tài liệu thuộc phạm vi quản lý/sở hữu của chủ ngữ bị người khác làm mất, gây ra rắc rối lớn cho chủ ngữ trong công việc."
られる1,NがNにNをV－られる＜間接受身＞,N3,①せまい部屋でタバコを吸われると気分が悪くなる。,静かなオフィスで同僚に大声で私用電話をかけられると仕事に集中できません。,静かなオフィスで,同僚に,大声で,私用電話をかけられる,と仕事に,集中できません。,"Cấu trúc bị động gián tiếp chỉ sự làm phiền. 「同僚に」 chỉ đối tượng gây ra sự phiền toái. 「大声で」 bổ nghĩa cho cách thức thực hiện. 「私用電話をかけられる」 là hành động bị động tác động gián tiếp lên không gian làm việc của chủ ngữ. Trợ từ 「と」 dùng nối mệnh đề điều kiện, dẫn đến hệ quả tất yếu là không thể tập trung làm việc."
られる2,,N4,①大きすぎて穴から出られなくなった。,この問題については、私の一存ではすぐには決められませんので、上司に相談します。,この問題については、,私の,一存では,すぐには決め,られません,ので、上司に相談します。,Cấu trúc thể khả năng của động từ nhóm 2 (決める -> 決められる). 「私の」 bổ nghĩa cho danh từ 「一存」 (quyết định cá nhân). 「一存では」 đóng vai trò giới hạn phạm vi năng lực điều kiện. 「すぐには決め」 đi cùng thể phủ định khả năng lịch sự 「られません」 để tạo thành cụm từ chối khéo léo rằng bản thân không thể tự ý đưa ra quyết định ngay được.
れる1,NはNがV－れる＜能力＞,N4,①リンさんはなっとうが食べられますか。,田中さんは英語のビジネスメールが上手に書けますか。,田中さんは,英語の,ビジネスメールが,上手に,書けます,か。,Cấu trúc thể khả năng của động từ nhóm 1 chỉ năng lực bản thân (書く -> 書ける). 「英語の」 bổ nghĩa cho 「ビジネスメール」. Đối tượng của câu khả năng được đi kèm với trợ từ 「が」 thay vì 「を」. Phó từ 「上手に」 đứng trước để bổ nghĩa cho động từ khả năng 「書けます」 nhằm hỏi về năng lực viết email thương mại của đồng nghiệp.
れる1,NはNがV－れる＜可能性＞,N4,①あの店ではいつも珍しいものが食べられる。,当社の新製品は、こちらのオンラインショップでも簡単に買えます。,当社の新製品は、,こちらの,オンラインショップで,も簡単に,買えます,。,"Cấu trúc thể khả năng của động từ nhóm 1 diễn tả tính khả thi, hoàn cảnh cho phép (買う -> 買える). 「こちらの」 định vị cho danh từ địa điểm. 「オンラインショップでも」 chỉ phương thức/nơi chốn mà việc mua hàng có thể diễn ra. Cụm 「簡単に買えます」 khẳng định tính chất thuận tiện của việc có thể sở hữu sản phẩm mới."
