Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
"いたり","Nのいたり","N1","①このたび我が社の長年の社会奉仕活動に対して地域文化賞をいただきましたことは誠に光栄のいたりに存じます。","「このような大役を任せていただき、身に余る光栄のいたりに存じます。」","「このような大役を任せていただき、","身に余る","光栄の","いたりに","存じます。」","","Cụm từ 『身に余る』 (vượt quá bổn phận/vinh hạnh lớn lao) bổ nghĩa cho danh từ 『光栄』. Mẫu ngữ pháp 『Nのいたり』 biểu thị cảm xúc cực kỳ cao độ (ở đây là vô cùng vinh hạnh), kết hợp thành 『光栄のいたり』. Đuôi câu sử dụng khiêm nhường ngữ 『存じます』 (nghĩ/cảm thấy) để thể hiện sự tôn kính trong bối cảnh kinh doanh."
"いちがい～ない","","N2","①有機野菜が安全だといちがいには言えない。","「競合他社の製品だからといって、いちがいに品質が劣っているとは限らない。」","「競合他社の製品だからといって、","いちがいに","品質が","劣っているとは","限らない。」","","Trạng từ 『いちがい（に）』 luôn đi kèm với thể phủ định ở cuối câu tạo thành cấu trúc 'không thể nhất loạt cho rằng/không hẳn là...'. Cụm 『品質が劣っている』 (chất lượng kém hơn) đi với phó từ phán đoán 『とは限らない』 (không hẳn là) để tạo ra sự phủ định hoàn toàn phù hợp với logic của vế trước."
"いちど","いちど Vと／V－たら","N4","①タイ料理は一度食べると病みつきになる。","「こちらの新システムは、一度導入すると業務効率が大幅に向上します。」","「こちらの新システムは、","一度","導入すると","業務効率が","大幅に向上します。」","","Phó từ 『一度』 (một khi) đi kèm với động từ chia thể điều kiện 『導入すると』 (nếu đưa vào sử dụng) để thiết lập giả định. Sau đó là chủ ngữ của vế kết quả 『業務効率が』 kết hợp với cụm động từ 『大幅に向上します』 (tăng trưởng mạnh mẽ) thể hiện lợi ích kinh doanh."
"いちど","いちど V－ば／V－たら","N4","①こんなところは一度来ればたくさんだ。","「トラブルの対応は、一度経験すれば次からは落ち着いて対処できる。」","「トラブルの対応は、","一度","経験すれば","次からは","落ち着いて対処できる。」","","Tương tự câu trên, 『一度』 đi với động từ thể điều kiện 『経験すれば』 (nếu trải nghiệm/vấp phải). Tiếp theo là trạng từ chỉ thời gian 『次からは』 (từ lần sau) bổ nghĩa cho năng lực hành động 『落ち着いて対処できる』 (có thể bình tĩnh xử lý) của nhân viên."
"いつか","いつか","N4","①本を読んでいる間にいつか眠り込んでしまったようだ。","「昨日は新しい企画の提案書を作成している間に、いつか深夜になっていた。」","「昨日は新しい企画の提案書を作成している間に、","いつか","深夜に","なって","いた。」","","Cụm 『～している間に』 (trong lúc đang làm...) thiết lập bối cảnh thời gian. 『いつか』 ở đây mang nghĩa 'lúc nào không hay'. Nó bổ nghĩa cho trạng thái biến đổi 『深夜になっていた』 (đã về khuya), thể hiện việc mải mê làm việc đến quên thời gian."
"いつか","いつかV－た","N4","①いつか見た映画の中にもこんな台詞があった。","「いつかお話しした新規プロジェクトの件ですが、いよいよ来月から始動します。」","「いつか","お話しした","新規プロジェクトの","件ですが、","いよいよ来月から始動します。」","","Phó từ 『いつか』 mang nghĩa 'hôm trước/trước đây' bổ nghĩa cho động từ kính ngữ 『お話しした』 (đã nói chuyện). Cụm này bổ nghĩa cho danh từ 『新規プロジェクトの件』 (về dự án mới). Vế sau 『いよいよ来月から始動します』 là thông báo chính thức."
"いつか","いつか（は）","N4","①あいつもいつかはきっと自分の間違いに気づくだろう。","「地 đạoな努力を続ければ、いつかは大きな契約を結ぶことができるはずだ。」","「地道な努力を続ければ、","いつかは","大きな","契約を結ぶことが","できるはずだ。」","","Vế điều kiện 『地道な努力を続ければ』 (nếu duy trì nỗ lực bền bỉ) dẫn tới phỏng đoán tương lai. 『いつかは』 mang nghĩa 'một ngày nào đó' bổ nghĩa cho khả năng 『契約を結ぶことができる』 (có thể ký hợp đồng). Kết thúc bằng 『はずだ』 thể hiện niềm tin chắc chắn."
"いつか","いつかのN","N4","①いつかのセールスマンがまた来た。","「先ほど受付に、いつかの商社の担当者様が挨拶にいらっしゃいました。」","「先ほど受付に、","いつかの","商社の","担当者様が","挨拶にいらっしゃいました。」","","Cấu trúc 『いつかのN』 chỉ 'người/vật hôm trước'. Ở đây 『いつかの』 bổ nghĩa cho 『商社の担当者様』 (vị phụ trách của công ty thương mại). Tiếp theo là chủ ngữ đi với hành động kính ngữ 『挨拶にいらっしゃいました』 (đã đến để chào hỏi)."
"いっこうに","いっこうにV－ない","N2","①30分待ったが、彼はいっこうに現れない。","「先方に何度もメールを送っていますが、いっこうに返信が来ない。」","「先方に何度もメールを送っていますが、","いっก็ตาม","返信が","来ない。","","","Trạng từ 『いっこうに』 (mãi mà vẫn không...) bắt buộc phải đi với động từ thể phủ định 『来ない』 ở cuối câu. Danh từ 『返信が』 (phản hồi) đứng giữa làm chủ ngữ cho hành động 『来ない』, thể hiện sự bế tắc trong giao tiếp với đối tác."
"いっさい","いっさいない いっさいV－ない","N2","①計画の変更はいっさいない。","「今回のプロジェクトの機密情報は、外部にいっさい漏らしてはならない。」","「今回のプロジェクトの機密情報は、","外部に","いっさい","漏らしては","ならない。」","","Cụm 『外部に』 (ra bên ngoài) chỉ phương hướng rò rỉ thông tin. Phó từ 『いっさい』 (tuyệt đối không) đi kèm với cấu trúc cấm đoán mang tính chất quy định công ty 『漏らしてはならない』 (không được làm lộ), nhấn mạnh tính bảo mật."
"いつしか","","N1","①いつしかあたりは薄暗くなり、人影もまばらになっていた。","「入社当時は厳しかった先輩とも、いつしか信頼関係が築けるようになっていた。」","「入社当時は厳しかった先輩とも、","いつしか","信頼関係が","築けるように","なっていた。」","","Cụm 『いつしか』 (từ lúc nào không hay) chỉ một sự thay đổi dần dần theo thời gian. Nó bổ nghĩa cho toàn bộ quá trình biến đổi năng lực/trạng thái 『信頼関係が築けるようになっていた』 (đã có thể xây dựng mối quan hệ tin cậy lẫn nhau với tiền bối)."
"いっそ","いっそ","N2","①こんなにつらい思いをするくらいなら、いっそ離婚してしまいたい。","「毎月赤字を出すくらいなら、いっそこの事業から撤退すべきだ。」","「毎月赤字を出すくらいなら、","いっそ","この事業から","撤退","すべきだ。」","","Cấu trúc 『～くらいなら、いっそ...』 thể hiện thà chọn vế sau (dù cực đoan) còn hơn chịu đựng vế trước. 『いっそ』 (thà rằng/dứt khoát) bổ nghĩa cho hành động quyết liệt trong kinh doanh là 『撤退すべきだ』 (nên rút lui khỏi dự án/ngành này)."
"いっそ","よりいっそ（のこと） N／V よりいっそ（のこと）","N2","①休職よりいっそ転職を考えてみたらどうですか。","「現状維持よりいっそのこと新しい市場へ進出する方が、会社のためになる。」","「現状維持より","いっそのこと","新しい市場へ","進出する方が、","会社のためになる。」","","Cấu trúc So sánh 『AよりBの方が』 (thà B hơn A). Việc chèn 『いっそのこと』 vào sau 『より』 giúp nhấn mạnh sự dứt khoát chọn phương án mang tính đột phá 『新しい市場へ進出する』 (tiến vào thị trường mới) để mang lại lợi ích cho công ty."
"いったい","いったい＋疑問表現","N3","①いったい彼は生きているのだろうか。","「会議の開始時間を過ぎても誰も来ないが、いったい何が起きているのだろうか。」","「会議の開始時間を過ぎても誰も来ないが、","いったい","何が","起きているの","だろうか。」","","Trạng từ 『いったい』 (rốt cuộc là) dùng để nhấn mạnh tâm trạng thắc mắc, bắt buộc phải đi kèm với đuôi câu hỏi 『だろうか』. Nghi vấn từ 『何が』 đóng vai trò chủ ngữ cho hành động 『起きている』 (đang xảy ra) ở vế sau."
"いったん～と","","N3","①彼女はおしゃべりな人で、いったん話し出すと止まらない。","「弊社の規約では、いったん契約書に署名すると変更は認められません。」","「弊社の規約では、","いったん","契約書に","署名すると","変更は認められません。」","","Phó từ 『いったん』 (một khi đã...) liên kết chặt chẽ với điều kiện 『～と』. Cụm danh từ + trợ từ 『契約書に』 bổ nghĩa cho hành động 『署名すると』 (ký tên). Vế sau 『変更は認められません』 là hệ quả mang tính pháp lý công sở."
"いっぽう","V－る＋いっぽう（で）","N3","①自分の仕事をこなす一方で、部下のめんどうも見なければならない。","「彼は自分の営業目標を達成する一方で、後輩の指導にも力を入れている。」","「彼は自分の営業目標を","達成する","一方で、","後輩の指導にも","力を入れている。」","","Cấu trúc 『V-る一方で』 diễn tả hai hành động song song. Động từ 『達成する』 kết hợp với 『一方で』 để làm bản lề nối vế đầu với vế sau 『後輩の指導にも力を入れている』 (đoàn kết, dốc sức hướng dẫn đàn em)."
"いっぽう","いっぽうでは～たほうでは","N2","①この映画は、一方では今年最高との高い評価を受けていながら、他方ではひどい出来だと言われている。","「その新商品は、一方では革新的だと絶賛されながら、他方では実用性がないと批判されている。」","「その新商品は、","一方では","革新的だと絶賛されながら、","他方では","実用性がないと批判されている。」","","Cấu trúc tương phản đối lập 『一方では～、他方では...』 (một mặt thì..., mặt khác thì...). Vế thứ nhất 『革新的だと絶賛されながら』 (được khen là cải tiến) đi liền sau '一方では', nối tiếp bằng '他方では' và vế đối lập 『実用性がないと批判されている』."
"いっぽう","いっぽう","N3","①花子はみんなが帰ったあとも毎日残業していた。一方桃子は定時退社し、毎晩遊び回っていた。","「A社はアジア市場の開拓に注力している。一方、B社は欧州市場に焦点を当てている。」","「A社はアジア市場の開拓に注力している。","一方、","B社は","欧州市場に","焦点を当てている。」","","Liên từ 『一方、』 đứng đầu câu thứ hai để chuyển ý tương phản giữa hai đối tượng kinh doanh. Sau đó là chủ ngữ mới 『B社は』 và cụm vị ngữ chỉ mục tiêu chiến lược tương ứng 『欧州市場に焦点を当てている』 (tập trung vào thị trường Châu Âu)."
"いっぽう","V－るいっぽうだ","N3","①事態は悪くなる一方だ。","「原材料費の高騰により、製品の製造コストは上がる一方だ。」","「原材料費の高騰により、","製品の","製造コストは","上がる","一方だ。」","","Cấu trúc 『V-る一方だ』 thể hiện xu hướng biến đổi liên tục theo một chiều (thường là xấu). Danh từ 『製品の』 bổ nghĩa cho 『製造コストは』 (chi phí sản xuất). Động từ 『上がる』 kết hợp với 『一方だ』 để chỉ đà tăng giá không ngừng."
"いない","数量詞＋いない","N4","①10人以内なら乗れます。","「この報告書は、明日の定時後3時間以内に必ず提出してください。」","「この報告書は、","明日の定時後","3時間","以内に","必ず提出してください。」","","Cụm danh từ thời gian 『明日の定時後』 kết hợp với lượng từ 『3時間』. Ngữ pháp 『数量詞＋以内』 giới hạn phạm vi thời gian thành 『3時間以内に』 (trong vòng 3 tiếng). Cuối cùng là mệnh lệnh hành động khẩn cấp 『必ず提出してください』."
