Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
つまり,つまり＜言いかえ＞,N3,①彼は、母の弟、つまり私の叔父である。,本事件の首謀者は被害者の親友、つまり、最初に警察に通報した男である。,本事件の首謀者は,被害者の親友、,つまり、最初に,警察に,通報した,男である。,Câu này diễn tả mối quan hệ giải thích lại (言いかえ). 「本事件の首謀者は」 làm chủ ngữ. Danh từ 「被害者の親友」 đứng trước để chỉ đối tượng được giải thích. Liên từ 「つまり」 (tức là) đặt ngay sau đó để dẫn dắt phần làm rõ: cụm 「最初に警察に通報した」 bổ nghĩa cho danh từ chỉ người 「男」 ở phần Suffix.
つまり,つまり（は）＜結論＞,N3,①つまり、責任は自分にはないとおっしゃりたいのですね。,長時間の議論を経たが、つまりは、政府は増税を延期する方針を固めたのだ。,長時間の議論を経たが、,つまりは、,政府は,増税を延期する,方針を固めた,のだ。,"Cấu trúc 「つまりは」 dùng để đưa ra kết luận cuối cùng sau một quá trình thảo luận lâu dài (「長時間の議論を経たが」). Theo sau 「つまりは」 là chủ ngữのmệnh đề kết luận 「政府は」 (Chính phủ), tiếp theo là tân ngữ và hành động 「増税を延期する」 bổ nghĩa cho 「方針」 (phương châm) và đi liền với động từ 「固めた」 (đã quyết định) trước khi kết thúc bằng đuôi khẳng định 「のだ」."
つもり,V－る／V－ないつもりだ,N4,①来年はヨーロッパヘ旅行するつもりだ。,新首相は来期の国会で、医療制度を根本から改革するつもりだ。,新首相は来期の国会で、,医療制度を,根本から,改革する,つもり,だ。,"Mẫu câu 「V-るつもりだ」 thể hiện dự định, ý chíのchủ ngữ. Chủ ngữ 「新首相は」 thực hiện hành động tại 「来期の国会で」. Tân ngữ 「医療制度を」 đi kèm với trạng từ 「根本から」 bổ nghĩa cho động từ 「改革する」. Động từ thể từ điển 「改革する」 kết hợp trực tiếp với danh từ 「つもり」 để tạo thành cấu trúc biểu thị ý định, kết thúc bằng 「だ」."
つもり,V－るつもりはない,N4,①この授業を聴講してみたい。続けて出るつもりはないけれど。,告発者は「大企業の圧力に決して屈するつもりはない」と強く語った。,告発者は「大企業の圧力に決して,0,屈,する,つもりは,ない」と強く語った。,"Mẫu câu 「V-るつもりはない」 biểu thị sự phủ định hoàn toàn về mặt ý chí (không có ý định làm gì). Trong lời dẫn trực tiếp, 「大企業の」 bổ nghĩa cho danh từ 「圧力」 đi với trợ từ 「に」 chỉ đối tácのđộng từ tự động 「屈する」 (khuất phục). Trạng từ 「決して」 (quyết không) nhấn mạnh cho 「屈する」. Động từ thể từ điển 「屈する」 kết hợp trực tiếp với 「つもりはない」 thể hiện quyết tâm không đầu hàng, kết thúc bằng mệnh đề dẫn thoại 「」と強く語った」."
つもり,V－るつもりではない,N4,①すみません、あなたの邪魔をするつもりではなかったんです。,編集長は作家に「彼の作品をあえて批判するつもりではない」と弁明した。,編集長は作家に「彼の,作品を,あえて,批判する,つもりでは,ない」と弁明した。,"Mẫu câu 「V-るつもりではない」 được dùng để thanh minh rằng bản thân không có ý định như vậy. 「彼の」 bổ nghĩa cho tân ngữ 「作品を」. Trạng từ 「あえて」 (cố tình/dám) đứng trước động từ 「批判する」. Động từ thể từ điển 「批判する」 đi liền với 「つもりではない」 tạo thành cấu trúc phủ định ý định, kết thúc bằng cụm từ tường thuật 「」と弁明した」."
つもり,V－るつもりで,N3,①今日限りでやめるつもりで、上司に話しに行った。,若い記者は自らの命をかけるつもりで、その紛争地帯へ向かった。,若い記者は,自らの,命を,かける,つもりで、,その紛争地帯へ向かった。,Mẫu 「V-るつもりで」 diễn tả trạng thái thực hiện hành động khác với quyết tâm hoặc sự chuẩn bị tinh thần như thế nào. Chủ ngữ 「若い記者は」 thực hiện hành động hướng tới vùng xung đột ở phần Suffix. Phần định hướng tinh thần đứng trước: cụm danh từ 「自らの命」 làm tân ngữ cho động từ 「かける」 (đánh cược). Động từ 「かける」 ở thể từ điển bổ nghĩa cho danh từ 「つもり」 và đi với 「で」 để tạo trạng thái cho hành động chính vế sau.
つもり,～つもりだ＜信念＞,N3,①ミスが多かったが、今日の試合は練習のつもりだったからそれほど気にしていない。,彼は自分では一流の記者のつもりだが、その記事は偏見に満ちている。,彼は自分では,一流の,記者の,つもりだが、,その記事は,偏見に満ちている。,"Mẫu 「N + のつもりだ」 diễn tả niềm tin hoặc sự tự nhận thứcのmột người về bản thân (nghĩ rằng mình là..., dù thực tế có thể không phải). Chủ ngữ 「彼は」 đi kèm 「自分では」 (về phần mình). Cụm 「一流の記者」 bổ nghĩa cho 「つもり」 thông qua trợ từ 「の」. Tiếp theo là 「つもりだが」 (nghĩ là như vậy nhưng...) để tạo sự tương phản với vế sau 「その記事は偏見に満ちている」."
つもり,～つもりだ＜反事実＞,N3,①なによ、あの人、女王のつもりかしら。,あの若手俳優は、まるで大スターのつもりで周囲に横柄な態度を取っている。,あの若手俳優は、,まるで,大スターの,つもりで,周囲に,横柄な態度を取っている。,"Mẫu 「N のつもりで」 diễn tả trạng thái ảo tưởng, cư xử như thể một sự thật trái với thực tế. Trạng từ 「まるで」 (hệt như) đi kèm để nhấn mạnh tính giả định. Danh từ 「大スター」 kết hợp với 「つもり」 qua trợ từ 「の」. Cụm 「まるで大スターのつもりで」 bổ nghĩa cho hành động ở vế sau: đối với xung quanh (「周囲に」) tỏ thái độ kiêu ngạo (「横柄な態度を取っている」)."
つもり,V－たつもりはない,N3,①私はそんなことを言ったつもりはない。,社長は記者会見で「不正な取引を認めたつもりはない」と強く主張した。,社長は記者会見で「,不正な,取引を,認めた,つもりは,ない」と強く主張した。,"Mẫu 「V-たつもりはない」 dùng để khẳng định mạnh mẽ rằng trong thâm tâm hoặc nhận thứcのbản thân, mình không hề làm việc đó. Trong lời thoại trực tiếp, tính từ 「不正な」 bổ nghĩa cho 「取引」. 「取引を」 là tân ngữのđộng từ thể quá khứ 「認めた」 (đã thừa nhận). Động từ thể 「た」 kết hợp trực tiếp với 「つもりはない」 tạo nên sự phủ định về mặt nhận thức, kết thúc bằng 「」と強く主張した」."
つもり,V－たつもりで,N3,①旅行したつもりで、お金は貯金することにした。,主人公は一度死んだつもりで、巨大な悪に立ち向かう決意をした。,主人公は,一度,死んだ,つもりで、,巨大な悪に,立ち向かう決意をした。,"Mẫu 「V-たつもりで」 nghĩa là 「với tâm thế/coi như là đã làm gì」 (dù thực tế không phải), thể hiện quyết tâm lớn. Trạng từ 「一度」 bổ nghĩa cho động từ thể quá khứ 「死んだ」. Động từ thể 「た」 kết hợp với 「つもりで」 tạo thành cụm trạng thái bổ nghĩa cho vế sau. Vế sau bắt đầu bằng danh từ 「巨大な悪」 đi với trợ từ 「に」 chỉ đối tượng hướng tớiのđộng từ 「立ち向かう」, kết thúc bằng 「決意をした」."
て,で　A－くて　V－て　名詞とナ形容詞には「で」がつく。イ形容詞では「くて」。「ない」には「なくて」「ないで」の2つの形がある。動詞の場合、辞書形がグ・ヌ・ブ・ムで終るものは「で」、それ以外は「て」となる。,N5,①朝ご飯を作って、子供を起こした。,記者は急いで新聞の記事を書いて、編集部に送った。,記者は,急いで,新聞の,記事を,書いて、,編集部に送った。,Đây là cấu trúc dùng thể てのđộng từ để nối hai hành động xảy ra theo trình tự thời gian (viết bài rồi gửi). Trạng từ 「急いで」 đứng đầu để bổ nghĩa cho toàn bộ chuỗi hành động. Danh từ 「新聞」 đi với trợ từ 「の」 bổ nghĩa cho 「記事」. Cụm 「新聞の記事を」 làm tân ngữ cho động từ 「書く」. Động từ 「書く」 biến đổi sang thể て thành 「書いて」 để nối tiếp với vế sau 「編集部に送った」.
て～て,NaでNaで　A－くてA－くて　VててV－て,N3,①連絡がいつまで待っても来ないので、不安で不安で仕方がなかった。,山で遭難した息子の安否が心配で心配で、母は一睡もできなかった。,山で遭難した,息子の,安否が,心配で,心配で、,母は一睡もできなかった。,"Mẫu câu lặp lại tính từ đuôi Na ở dạng 「NaでNaで」 thể hiện mức độ cảm xúc cực kỳ cao, không thể kìm nén được. Định ngữ 「山で遭難した」 bổ nghĩa cho 「息子」. Trợ từ 「の」 kết nối 「息子」 với danh từ 「安否」 (sự an nguy) làm chủ ngữ cho tính từ 「心配」. Tính từ 「心配」 được lặp lại thành 「心配で心配で」 để nhấn mạnh nỗi lo sợ, dẫn tới kết quả ở vế sau là người mẹ không thể chợp mắt."
で,で,N4,①≪写真を見せながら≫これが、田中先生の奥さん。で、こっちが息子さんの孝君。,まずは国内の経済ニュースをお伝えしました。で、次にお伝えするのはこちらの重大な事件です。,まずは国内の経済ニュースをお伝えしました。,で、,次にお伝えする,のは,こちらの,重大な事件です。,"Trợ từ/Liên từ 「で」 ở đầu mệnh đề mới dùng trong dẫn chuyện để chuyển tiếp thông tin (「Và tiếp theo là...」). Sau khi kết thúc câu đầu, liên từ 「で」 bắt đầu câu tiếp theo. 「次に」 bổ nghĩa cho động từ 「お伝えする」. Cụm 「次にお伝えする」 định nghĩa cho danh từ hóa 「の」 đi kèm trợ từ 「は」 để làm chủ đề. Cụm từ chỉ định 「こちらの」 bổ nghĩa trực tiếp cho 「重大な事件です」 ở phần Suffix."
で,～で,N5,①彼女は病気で寝ています。,昨夜から続く激しい大雨で、電車の運転が一時的に見合わされた。,昨夜から続く,激しい,大雨で、,電車の,運転が,一時的に見合わされた。,"Trợ từ 「で」 ở đây chỉ nguyên nhân, lý doのmột sự việc ngoài ý muốn (thiên tai). Cụm định ngữ 「昨夜から続く」 bổ nghĩa cho tính từ 「激しい」. Tính từ này bổ nghĩa trực tiếp cho danh từ 「大雨」. 「大雨で」 chỉ nguyên nhân làm gián đoạn hành động ở vế sau. Ở vế sau, danh từ 「電車」 đi với 「の」 bổ nghĩa cho 「運転」 làm chủ ngữ đi với trợ từ 「が」, kết thúc bằng trạng từ 「一時的に」 và động từ bị động 「見合わされた」."
てあげる,V－てあげる,N5,①おばあさんが横断歩道で困っていたので、手を引いてあげた。,通りがかった少女は、泣いている迷子を優しく送り届けてあげた。,通りがかった少女は、,泣いている,迷子を,優しく,送り届けて,あげた。,Mẫu 「V-てあげる」 diễn tả việc làm một việc tốt giúp ích cho đối tượng khác. Chủ ngữ là 「通りがかった少女は」. Cụm 「泣いている」 làm định ngữ bổ nghĩa cho danh từ 「迷子」 đi kèm trợ từ 「を」 làm tân ngữ. Trạng từ 「優しく」 bổ nghĩa cho hành động 「送り届ける」. Động từ này chia sang thể て thành 「送り届けて」 kết hợp với trợ động từ 「あげた」 ở thời quá khứ.
てあげる,V－てあげてくれ（ないか）V－てあげてください,N4,①ケーキを作りすぎたので、おばあさんに持っていってあげて下さい。,医師は看護師に「不安そうな患者の手を握ってあげてください」と指示した。,医師は看護師に「,不安そうな,患者の,手を,握って,あげてください」と指示した。,"Mẫu 「V-てあげてください」 là lời yêu cầu lịch sự mong muốn ai đó làm một việc có lợi cho bên thứ ba. Trong lời dẫn thoại, tính từ 「不安そうな」 bổ nghĩa cho danh từ 「患者」. Trợ từ 「の」 nối với danh từ 「手」 đi kèm trợ từ 「を」 làm tân ngữ cho động từ 「握る」. Động từ này chuyển sang thể て thành 「握って」 đi cùng với đuôi yêu cầu 「あげてください」, kết thúc bằng 「」と指示した」."
てある,V－てある,N4,①テーブルの上には花が飾ってある。,踏み込んだ容疑者の部屋の壁には、不気味な街の地図が貼ってあった。,踏み込んだ容疑者の部屋の壁には、,不気味な,街の,地図が,貼って,あった。,Mẫu 「V-てある」 (quá khứ là 「てあった」) diễn tả trạng tháiのsự vật là kết quảのhành động có mục đích từ trước. Trạng ngữ nơi chốn đứng đầu. Cụm 「不気味な」 kết hợp với 「街」 bổ nghĩa cho danh từ 「地図」 qua trợ từ 「の」. 「地図が」 làm chủ ngữ cho trạng thái. Động từ tha động từ 「貼る」 (dán) được chuyển sang thể て thành 「貼って」 kết hợp với 「あった」 để biểu thị trạng thái đã được dán sẵn.
