"Grammar","Usage","JLPT Level","Reference Example","Original Example","Prefix","Chunk1","Chunk2","Chunk3","Chunk4","Suffix","Explanation"
"ないものか","V－ないもの（だろう）か V－れないもの（だろう）か","N2","①この混雑は何とかならないものか。","この深刻な少子化問題を、政府は何とか解決できないものか。","この深刻な","少子化問題を、","政府は","何とか解決","できないものか。","","1. 「少子化問題を」 (vấn đề già hóa dân số) là tân ngữ chịu tác động của hành động giải quyết. 2. 「政府は」 (chính phủ) là chủ ngữ thực hiện hành động. 3. 「何とか解決」 (bằng cách nào đó giải quyết) bổ nghĩa cho vị ngữ. 4. 「できないものか」 đi kèm với động từ khả năng thể phủ định để tạo nên cấu trúc ngữ pháp bày tỏ nguyện vọng, mong mỏi thiết tha của người viết (liệu có thể... được chăng)."
"なお","なお＜程度＞","N3","①あなたが来てくれれば、なお都合 g よい。","祖父の古い書斎に入ると、懐かしさがなお深く感じられた。","祖父の古い","書斎に入ると、","懐かしさが","なお深く","感じられた。","","1. 「書斎に入ると、」 xác định bối cảnh không gian và thời gian khi hành động diễn ra. 2. 「懐かしさが」 là chủ ngữ biểu thị cảm xúc dâng trào. 3. 「なお深く」 sử dụng phó từ 「なお」 chỉ mức độ tăng tiến (càng... hơn nữa) để bổ nghĩa cho tính từ 「深く」. 4. 「感じられた」 là vị ngữ kết thúc câu ở thể bị động tự phát diễn tả cảm xúc tự nhiên trào dâng."
"なお","なお＜但し書き＞","N2","①入学希望者は期日までに、入学金を納入してください。なお、いったん納入された入学金は、いかなる場合にもお返しできませんので、ご了承ください。","被災地への義援金を受け付けております。なお、集まった資金はすべて現地の復興支援に充てられます。","被災地への義援金を受け付けております。","なお、","集まった資金は","すべて現地の復興支援に","充てられます。","","1. 「なお、」 là liên từ đặt ở đầu câu mới dùng để bổ sung thông tin giải thích thêm (Lưu ý thêm/Hơn nữa). 2. 「集まった資金は」 đóng vai trò là chủ đề của câu bổ sung. 3. 「すべて現地の復興支援に」 chỉ đối tượng và phạm vi mục đích phân bổ của nguồn tiền. 4. 「充てられます」 là vị ngữ ở dạng bị động chỉ việc số tiền được sử dụng/phân bổ vào mục đích đó."
"なおす","R－なおす＜意志的＞","N3","①出版の際に、論文の一部を書き直した。","彼は小説の結末が気に入らず、原稿を何度も書き直した。","彼は小説の結末が","気に入らず、","原稿を","何度も","書き直した。","","1. 「気に入らず、」 chỉ nguyên nhân vì không vừa ý với kết cục của tiểu thuyết. 2. 「原稿を」 làm tân ngữ trực tiếp cho hành động phía sau. 3. 「何度も」 là phó từ chỉ tần suất lặp lại nhiều lần bổ nghĩa cho động từ chính. 4. 「書き直した」 là động từ phức mang tính ý chí thể hiện hành động viết lại, sửa đổi để làm lại cho tốt hơn."
"なおす","R－なおす＜無意志的＞","N2","①今年になって、景気が持ち直した。","年末にかけて、市場の株価が急激に持ち直した。","年末にかけて、","市場の","株価が","急激に","持ち直した。","","1. 「市場の」 là cụm danh từ sở hữu bổ nghĩa cho danh từ theo sau. 2. 「株価が」 đóng vai trò chủ ngữ của câu chỉ đối tượng biến đổi trạng thái. 3. 「急激に」 là phó từ chỉ mức độ thay đổi nhanh chóng, đột ngột. 4. 「持ち直した」 là động từ vô ý chí biểu thị trạng thái tự phục hồi, chuyển biến tốt lên tự nhiên từ một tình thế xấu."
"なか","Nのなか","N5","①部屋の中にはだれがいるの。","主人公は古い木箱のなかに秘密の鍵を隠した。","主人公は古い","木箱の","なかに","秘密の鍵を","隠した。","","1. 「木箱の」 bổ nghĩa cho không gian chứa đựng của chiếc hộp gỗ. 2. 「なかに」 đi với trợ từ に chỉ địa điểm, vị trí bên trong nơi hành động hướng vào. 3. 「秘密の鍵を」 làm tân ngữ cho hành động giấu. 4. 「隠した」 là động từ chính ở cuối câu diễn tả hành động trong quá khứ."
"なか","Nのなかで","N4","①3人兄弟の中では、次男が一番優秀だ。","現代 của 若者のなかで、SNSの利用が急増している。","現代の","若者の","なかで、","SNSの利用が","急増している。","","1. 「若者の」 giới hạn đối tượng sở hữu/phạm vi nhóm người trẻ tuổi. 2. 「なかで、」 chỉ phạm vi không gian xã hội hoặc nhóm đối tượng được xét đến. 3. 「SNSの利用が」 đóng vai trò làm chủ ngữ chính của mệnh đề này. 4. 「急増している」 là vị ngữ chỉ hành động/trạng thái đang tăng lên nhanh chóng."
"なか","～なかを Nのなかを A－いなかを V－るなかを","N3","①激しい雨の中をさまよった。","激しく吹雪く雪のなかを、旅人は歩き続けた。","激しく吹雪く","雪の","なかを、","旅人は","歩き続けた。","","1. 「雪の」 liên kết danh từ bổ nghĩa cho phạm vi môi trường xung quanh. 2. 「なかを、」 chỉ không gian/hoàn cảnh mà chủ thể di chuyển xuyên qua (băng qua trong làn tuyết). 3. 「旅人は」 làm chủ ngữ thực hiện hành động. 4. 「歩き続けた」 là vị ngữ biểu thị hành động kiên trì tiếp tục đi bộ bất chấp hoàn cảnh khắc nghiệt."
"ながす","R－ながす","N2","①このレポートは、何の調査もせずに、思いついたことを適当に書き流しているだけだ。","最近のメディアは、うわさを適当に書き流す傾向がある。","最近のメディアは、","うわさを","適当に","書き流す","傾向がある。","","1. 「うわさを」 làm tân ngữ trực tiếp của hành động viết. 2. 「適当に」 là phó từ thể hiện phương thức thực hiện hành động một cách cẩu thả, hời hợt. 3. 「書き流す」 sử dụng cấu trúc động từ phức R-ながす chỉ hành động viết ra một cách trôi chảy nhưng thiếu cẩn thận, viết cẩu thả không suy nghĩ sâu sắc. 4. 「傾向がある」 đi kèm dạng từ điển của động từ để chỉ một xu hướng, hiện tượng phổ biến."
"ながら","R－ながら＜同時＞","N4","①音楽を聴きながら、勉強や仕事をする人のことを「ながら族」という。","彼女は窓の外を眺めながら、昔の恋人を思い出していた。","彼女は窓の外を","眺め","ながら、","昔の恋人を","思い出していた。","","1. 「眺め」 là thể liên dụng (Stem) của động từ 眺める. 2. 「ながら、」 đứng sau động từ thể liên dụng để chỉ hai hành động xảy ra đồng thời (vừa ngắm nhìn vừa hồi tưởng). 3. 「昔の恋人を」 làm tân ngữ cho hồi ức phía sau. 4. 「思い出していた」 là hành động chính kết thúc câu diễn tả trạng thái đang hồi tưởng."
