Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
あと1,～あと　Nのあと　V－たあと,,①試験の後はいつも気分が落ち込む。,夕食のあとは、家族みんなでリビングでテレビを見ます。,夕食___、家族みんなでリビングでテレビを見ます。,A,のあとは,Đáp án đúng. Cấu trúc 'N + のあと(は)' dùng để chỉ thời điểm sau khi một sự kiện danh từ diễn ra.,たあとは,Sai cấu trúc. '夕食' là một danh từ nên không thể kết hợp trực tiếp với thể quá khứ 'た'.,のあとから,"Sai sắc thái. 'あとから' thường mang nghĩa 'kể từ sau đó' hoặc diễn tả việc xảy ra muộn hơn, không tự nhiên cho thói quen sinh hoạt.",のまえに,"Sai ý nghĩa. 'のまえに' có nghĩa là 'trước khi', ngược lại hoàn toàn với ngữ cảnh sau bữa tối.",のあいだに,"Sai ý nghĩa. 'のあいだに' nghĩa là 'trong khi', không hợp lý khi nói về khoảng thời gian sau khi kết thúc bữa ăn.",のついでに,"Sai ý nghĩa. 'のついでに' có nghĩa là 'nhân tiện làm việc này thì làm việc khác', không phù hợp ở đây.",るあとは,Sai ngữ pháp. Không thể kết hợp động từ thể từ điển 'る' trực tiếp với danh từ '夕食'.,のうちは,"Sai ý nghĩa. 'のうちは' nghĩa là 'trong lúc còn đang trong trạng thái...', không đúng logic hành động sau ăn."
あと1,～あと（で／に）　Nのあと　で／に　V－たあと　で／に,,①田中さんにはお世話になったから、引っ越しの後で改めてお礼にうかがおう。,この宿題が終わったあとで、一緒にゲームをしよう。,この宿題が終わっ___、一緒にゲームをしよう。,A,たあとで,Đáp án đúng. Cấu trúc 'V-た + あとで' diễn tả hành động thực hiện sau khi một hành động khác kết thúc.,たあとから,"Sai ý nghĩa. 'V-たあとから' chỉ trạng thái phát sinh/kéo dài từ mốc đó, không dùng cho lời hẹn hành động có chủ ý liền sau.",るあとで,Sai ngữ pháp. Trước 'あとで' phải dùng thể quá khứ 'た' đối với động từ để chỉ hành động đã hoàn thành.,ないあとで,Sai cấu trúc. Không tồn tại thể phủ định 'ない' kết hợp trực tiếp với 'あとで' theo cách này.,たまえに,"Sai cấu trúc. Trước 'まえに' phải dùng động từ thể từ điển (V-る), không dùng thể 'た'.",のあとで,"Sai ngữ pháp. Vế trước là một mệnh đề động từ '終わった', không thể dùng trợ từ 'の' của danh từ.",たうちに,"Sai ý nghĩa. 'V-たうちに' không phù hợp, thông thường dùng 'V-る/V-ているうちに' (trong lúc đang làm gì).",たばかりに,"Sai ý nghĩa. 'V-たばかりに' nghĩa là 'chỉ vì... mà dẫn đến kết quả xấu', không hợp ngữ cảnh rủ rê."
あと1,V－たあとから,,①募集を締め切ったあとから応募したいと言ってこられても困る。,晩ご飯を食べたあとから、急にお腹が痛くなってきた。,晩ご飯を食べ___、急にお腹が痛くなってきた。,A,たあとから,Đáp án đúng. Cấu trúc 'V-たあとから' chỉ một trạng thái bắt đầu xuất hiện hoặc kéo dài liên tục sau khi hành động kết thúc.,たあとで,"Sai sắc thái. 'たあとで' thường nhấn mạnh thứ tự hành động có chủ ý tiếp theo, kém tự nhiên khi nói về trạng thái đau bụng tự phát.",るあとから,Sai ngữ pháp. Cấu trúc bắt buộc phải chia động từ ở thể quá khứ 'た'.,たまえから,Sai ý nghĩa. 'V-たまえから' sai cấu trúc ngữ pháp (trước まえ phải là V-る) và ngược nghĩa (từ trước khi).,たばかり,"Sai cấu trúc. 'V-たばかり' nghĩa là vừa mới làm gì, không kết hợp trực tiếp tạo ý nghĩa kéo dài hoặc hệ quả như 'あとから'.",のあとから,"Sai ngữ pháp. '食べた' là động từ, không dùng trợ từ 'の' để nối với danh từ như cách dùng của danh từ.",たうちに,"Sai ý nghĩa. 'Trong lúc đang ăn' thì dùng '食べているうちに', còn ở đây hành động ăn đã kết thúc.",たついでに,"Sai ý nghĩa. 'Nhân tiện', không phù hợp với việc tự nhiên phát sinh đau bụng."
あと2,あと,,①料理はこのくらいあれば十分ですね。あと、飲み物はこれで足りますか。,買い物はこれで全部だね。あと、牛乳を買うのを忘れてた！,買い物はこれで全部だね。___、牛乳を買うのを忘れてた！,A,あと,"Đáp án đúng. Liên từ 'あと' đứng đầu câu dùng để sực nhớ ra và bổ sung thêm thông tin, đồ vật còn thiếu vào danh sách.",あとで,"Sai ngữ pháp. 'あとで' là phó từ nghĩa là 'lát nữa/sau đó', không dùng làm liên từ độc lập ở đầu câu để bổ sung đồ vật.",それなら,"Sai ý nghĩa. 'それなら' nghĩa là 'nếu thế thì', dùng để đưa ra đề xuất dựa trên lời của người khác.",だから,"Sai ý nghĩa. 'だから' là liên từ chỉ nguyên nhân kết quả (vì thế), không phù hợp ngữ cảnh bổ sung đồ vật.",しかし,"Sai ý nghĩa. 'しかし' mang nghĩa tương phản (tuy nhiên), không đúng với mục đích thêm đồ vào danh sách mua sắm.",つまり,"Sai ý nghĩa. 'つまり' nghĩa là 'tóm lại/nói cách khác', dùng để giải thích rõ hơn chứ không phải bổsung.",例えば,"Sai ý nghĩa. '例えば' dùng để đưa ra ví dụ (ví dụ như), không hợp ngữ cảnh sực nhớ đồ cần mua.",まず,"Sai ý nghĩa. 'まず' nghĩa là 'trước tiên', dùng khi bắt đầu một chuỗi hành động, không dùng khi đã xong xuôi."
あと2,あと＋数量詞,,①その仕事を片づけるにはあと3日で十分です。,お母さん、あと5分でケーキが焼き上がるよ。,お母さん、___5分でケーキが焼き上がるよ。,A,あと,Đáp án đúng. 'あと + Số lượng từ' diễn tả lượng thời gian hoặc số lượng còn lại cho đến một mốc nào đó.,あとで,Sai cấu trúc. 'あとで' không đứng trực tiếp ngay trước số lượng từ để bổ nghĩa cho thời gian còn lại như 'あと'.,まで,"Sai ý nghĩa. 'まで' đứng sau danh từ/số lượng từ chỉ giới hạn (đến mức/cho đến), không đứng trước.",から,"Sai ý nghĩa. 'から' nghĩa là 'từ', không đứng trước số lượng từ để chỉ khoảng thời gian còn lại.",だけ,"Sai cấu trúc. 'だけ' nghĩa là 'chỉ', phải đứng sau số lượng từ (5分だけ) chứ không đứng trước.",ほど,"Sai cấu trúc. 'ほど' nghĩa là 'khoảng', đứng sau số lượng từ (5分ほど) để ước lượng.",ごろ,"Sai ngữ pháp. 'ごろ' đứng sau mốc thời gian (5時ごろ), không đứng trước khoảng thời gian.",かけて,"Sai cấu trúc. Thường dùng trong cụm '～から～にかけて' (từ... đến...), không đứng một mình trước số lượng từ."
あとから,,,①あとから文句を言われても困るので、何か言いたいことがある人は今のうちに出してください。,先に映画のチケットを買っておくね。君はあとから来て。,先に映画のチケットを買っておくね。君は___来て。,A,あとから,Đáp án đúng. 'あとから' chỉ việc một người xuất phát hoặc đến sau người khác về mặt thời gian/thứ tự di chuyển.,あとに,Sai ngữ pháp. 'あとに' không dùng độc lập như một phó từ bổ nghĩa cho hành động di chuyển của chủ ngữ.,まえから,"Sai ý nghĩa. 'まえから' nghĩa là 'từ trước', hoàn toàn ngược lại với hành động đến sau.",さっきから,"Sai ý nghĩa. 'さっきから' nghĩa là 'từ nãy đến giờ', chỉ một hành động/trạng thái kéo dài từ quá khứ gần.",うしろから,"Sai sắc thái. 'うしろから' chỉ phương hướng không gian (từ phía sau), không dùng để hẹn thời gian đến sau.",あとまで,"Sai ý nghĩa. 'あとまで' nghĩa là 'cho đến cuối cùng', không hợp ngữ cảnh bảo người khác đến sau.",これから,"Sai ý nghĩa. 'これから' nghĩa là 'từ bây giờ', không làm nổi bật được thứ tự người trước người sau như 'あとから'.",それから,"Sai cấu trúc. 'それから' là liên từ đầu mệnh đề (sau đó), không dùng đi kèm với trợ từ 'は' của chủ ngữ."
あとで,,,①あとでまた電話します。,今ちょっと手が離せないから、あとで話を聞くね。,今ちょっと手が離せないから、___話を聞くね。,A,あとで,"Đáp án đúng. Phó từ 'あとで' chỉ một thời điểm trong tương lai gần (lát nữa, tí nữa) sẽ thực hiện hành động.",あとから,"Sai sắc thái. 'あとから' nhấn mạnh vào thứ tự hành động/di chuyển đi sau người khác, không phù hợp chỉ mốc thời gian lát nữa.",あとに,Sai ngữ pháp. 'あとに' không dùng đứng độc lập làm phó từ chỉ thời gian tương lai gần giống 'あとで'.,まえに,"Sai ý nghĩa. 'まえに' nghĩa là 'trước đó', hoàn toàn mâu thuẫn với vế đầu 'bây giờ đang bận không rảnh'.",さっき,"Sai ý nghĩa. 'さっき' nghĩa là 'vừa nãy', chỉ hành động đã xảy ra trong quá khứ gần.",つぎに,"Sai sắc thái. 'つぎに' nghĩa là 'tiếp theo', thường dùng khi liệt kê các bước trong một quy trình, không tự nhiên ở đây.",すぐに,"Sai ý nghĩa. 'すぐに' nghĩa là 'ngay lập tức', mâu thuẫn trực tiếp với lý do 'bây giờ đang bận tay'.",とうとう,"Sai ý nghĩa. 'とうとう' nghĩa là 'cuối cùng thì', dùng cho một kết quả đạt được sau quá trình dài, không chỉ tương lai."
あとは～だけ,,,①メンバーはほとんどそろって、あとは田中さんだけなのだが、なぜか予定の時刻を過ぎても現れる気配がない。,掃除 mo 洗濯も終わった！あとは友達が来るのを待つだけだ。,掃除も洗濯も終わった！___友達が来るのを待つだけだ。,A,あとは,"Đáp án đúng. Cấu trúc 'あとは～だけ' nghĩa là 'phần còn lại/việc còn lại chỉ là...', dùng khi mọi việc đã hoàn thành phần lớn.",あとで,"Sai ngữ pháp. 'あとで' là phó từ chỉ thời gian (lát nữa), không kết hợp với 'だけだ' ở cuối để chỉ việc còn lại duy nhất.",それから,"Sai cấu trúc. 'それから' dùng để liệt kê hành động tiếp theo, không đi kèm nhấn mạnh cấu trúc giới hạn còn lại duy nhất.",それでは,"Sai ý nghĩa. 'それでは' nghĩa là 'vậy thì', dùng để chuyển ý hoặc đưa ra kết luận dựa trên tình huống.",だから,"Sai ý nghĩa. 'だから' là liên từ chỉ nguyên nhân kết quả (vì vậy), không hợp ngữ cảnh liệt kê việc còn sót lại.",しかし,"Sai ý nghĩa. 'しかし' mang nghĩa tương phản (tuy nhiên), không phù hợp ở đây.",まずは,"Sai ý nghĩa. 'まずは' nghĩa là 'trước tiên là', dùng khi bắt đầu chuỗi hành động, ngược với bối cảnh việc đã hoàn thành.",あとから,"Sai ngữ pháp. 'あとから' chỉ hành động đi sau/đến sau, không dùng làm liên từ chỉ phần việc còn lại."
あまり,話しことばで強めるときには「あんまり」となる。あまり／あんまり～ない　あまりNaではない　あまりA－くない　あまりV－ない,,①今はあまりおなかがすいていないので、ケーキはいりません。,この近くのスーパーは、あんまり新鮮な魚が売っていない。,この近くのスーパーは、___新鮮な魚が売っていない。,A,あんまり,"Đáp án đúng. 'あんまり' là dạng văn nói của 'あまり', đi với thể phủ định '～ない' diễn tả mức độ 'không... lắm'.",とても,"Sai ngữ pháp. 'とても' nghĩa là 'rất', thường đi với câu khẳng định, không đi với phủ định chỉ mức độ thấp như thế này.",いつも,"Sai ý nghĩa. 'いつも' nghĩa là 'luôn luôn', không hợp logic khi kết hợp phủ định tạo nghĩa đánh giá về siêu thị.",あまりに,"Sai ngữ pháp. 'あまりに' thường đi với câu khẳng định để chỉ mức độ 'quá mức đến nỗi...', không dùng với '～ない' ở đây.",すっかり,"Sai ngữ pháp. 'すっかり' nghĩa là 'hoàn toàn/toàn bộ', đi với câu khẳng định biểu thị trạng thái trọn vẹn.",ほとんど,"Sai ngữ pháp. 'ほとんど' nghĩa là 'hầu như', khi đi với phủ định mang nghĩa hầu như không, nhưng vị trí đứng không bổ nghĩa trực tiếp cho tính từ.",まったく,"Sai sắc thái. 'まったく～ない' nghĩa là 'hoàn toàn không', mang tính tuyệt đối, trong khi ngữ cảnh đời sống thường dùng 'あんまり' để giảm nhẹ.",かなり,"Sai ngữ pháp. 'かなり' nghĩa là 'khá là', đi với câu khẳng định để chỉ mức độ cao."
あまり,あまりに（も）　あんまり（にも）,,①あまりにおかしくて涙が出た。,この部屋、あまりにも散らかっているから一緒に片付けよう。,この部屋、___散らかっているから一緒に片付けよう。,A,あまりにも,"Đáp án đúng. 'あまりに（も）' đi với câu khẳng định biểu thị mức độ cực đoan, vượt quá giới hạn bình thường (quá mức).",あんまり,Sai ngữ pháp. 'あんまり' đứng một mình không có 'にも' thường yêu cầu đuôi phủ định '～ない' trong văn nói giao tiếp thường nhật.,ぜんぜん,"Sai ngữ pháp. 'ぜんぜん' yêu cầu vị ngữ ở dạng phủ định (hoàn toàn không...), câu này đuôi là khẳng định.",少しも,"Sai ngữ pháp. '少しも' nghĩa là 'một chút cũng không', bắt buộc đi kèm với vị ngữ phủ định.",決して,"Sai ngữ pháp. '決して' nghĩa là 'tuyệt đối không', bắt buộc đi kèm với vị ngữ phủ định.",ほとんど,"Sai ý nghĩa. 'ほとんど' nghĩa là 'hầu như', không đi kèm với sắc thái nhấn mạnh mức độ bừa bộn quá mức để rủ dọn dẹp.",たまに,"Sai ý nghĩa. 'たまに' nghĩa là 'thỉnh thoảng', không hợp logic với lý do rủ cùng nhau dọn dẹp ngay.",まさか,"Sai ý nghĩa. 'まさか' diễn tả sự ngạc nhiên không ngờ tới (không lẽ nào), thường đi với câu nghi vấn hoặc phủ định."
